"Date :",05/27/21 16:53:36
"Motion Threshold (au):",15
"Detection Method:","Linear"
"Min Freeze Duration (f):",10



Component Details
"Component Name","Start Time","Duration (s)","Start Frame","Duration Frames"
"Sound 1"," 0:02:00.000",30,3600,900
"Sound 2"," 0:04:02.000",30,7260,900
"Sound 3"," 0:06:04.000",30,10920,900
"Shock 1"," 0:02:30.000",2,4500,60
"Shock 2"," 0:04:32.000",2,8160,60
"Shock 3"," 0:06:34.000",2,11820,60

"Experiment","Trial","Box","Animal","Group","Component Name","Freeze Cnt","Time Freezing","Pct Total Time Freezing","Pct Component Time Freezing","Avg Motion Index","Min Motion Index","Max Motion Index"
"VF020121_130614","13",Chamber1,"","","Shock 1",3,1.733,0.34,86.67,5.67,0,30
"VF020121_130614","13",Chamber1,"","","Shock 2",2,1.000,0.19,50.00,6.75,0,56
"VF020121_130614","13",Chamber1,"","","Shock 3",2,1.567,0.30,78.33,5.53,0,31

"VF020121_130614","13",Chamber 2,"","","Sound 1",3,29.267,5.67,97.56,1.63,0,336
"VF020121_130614","13",Chamber 2,"","","Sound 2",1,30.000,5.81,100.00,0.08,0,8
"VF020121_130614","13",Chamber 2,"","","Sound 3",1,30.000,5.81,100.00,0.02,0,5
"VF020121_130614","13",Chamber 2,"","","Shock 1",3,1.900,0.37,95.00,3.45,0,132
"VF020121_130614","13",Chamber 2,"","","Shock 2",2,1.733,0.34,86.67,1.20,0,20
"VF020121_130614","13",Chamber 2,"","","Shock 3",2,1.800,0.35,90.00,2.03,0,51

