Animal_ID,Experiment,Trial,Box,Treatment,Sex,Genotype,Component Name,Freeze Cnt,Time Freezing,Pct Total Time Freezing,Pct Component Time Freezing,Avg Motion Index,Min Motion Index,Max Motion Index,Month
211004-16,VF102721_105409,day2_trial6,Chamber 2,HFD,male,APOE44HN,Day2_Exploration,11,7.167,1.59,1.59,110.57,0,892,October
,,,,,,,,,,,,,,,
211004-17,VF102721_110501,day2_trial7,Chamber1,HFD,male,APOE44HN,Day2_Acclimation,18,17.767,3.95,9.87,131.39,0,1076,October
211004-17,VF102721_110501,day2_trial7,Chamber1,HFD,male,APOE44HN,Day2_CSTone,76,129.433,28.76,35.95,45.04,0,656,October
211004-17,VF102721_110501,day2_trial7,Chamber1,HFD,male,APOE44HN,Day2_Exploration,21,21.667,4.81,4.81,77.62,0,656,October
,,,,,,,,,,,,,,,
211004-19,VF102721_110501,day2_trial7,Chamber 2,Control,male,APOE44,Day2_Acclimation,33,41.233,9.16,22.91,89.81,0,1211,October
211004-19,VF102721_110501,day2_trial7,Chamber 2,Control,male,APOE44,Day2_CSTone,80,89.567,19.9,24.88,80.88,0,1264,October
211004-19,VF102721_110501,day2_trial7,Chamber 2,Control,male,APOE44,Day2_Exploration,34,35.733,7.94,7.94,48,0,714,October
,,,,,,,,,,,,,,,
211004-20,VF102721_111633,day2_trial8,Chamber1,Control,female,APOE44,Day2_Acclimation,35,44.9,9.98,24.94,121.27,0,1203,October
211004-20,VF102721_111633,day2_trial8,Chamber1,Control,female,APOE44,Day2_CSTone,64,119.767,26.61,33.27,64.63,0,1209,October
211004-20,VF102721_111633,day2_trial8,Chamber1,Control,female,APOE44,Day2_Exploration,30,48.233,10.72,10.72,47.67,0,1209,October
,,,,,,,,,,,,,,,
211004-21,VF102721_111633,day2_trial8,Chamber 2,Control,male,APOE44HN,Day2_Acclimation,30,21.133,4.7,11.74,101.14,0,1130,October
211004-21,VF102721_111633,day2_trial8,Chamber 2,Control,male,APOE44HN,Day2_CSTone,57,50.3,11.18,13.97,101.2,0,2395,October
211004-21,VF102721_111633,day2_trial8,Chamber 2,Control,male,APOE44HN,Day2_Exploration,20,21.433,4.76,4.76,98.89,0,2395,October
,,,,,,,,,,,,,,,
211122-1,VF121521_095730,day2_trial1,Chamber1,HFD,female,APOE22HN,Day2_Acclimation,27,22.8,5.07,12.67,139.85,0,1347,November
211122-1,VF121521_095730,day2_trial1,Chamber1,HFD,female,APOE22HN,Day2_CSTone,59,71,15.78,19.72,90.09,0,1029,November
211122-1,VF121521_095730,day2_trial1,Chamber1,HFD,female,APOE22HN,Day2_Exploration,29,29.5,6.56,6.56,75.01,0,978,November
,,,,,,,,,,,,,,,
211122-2,VF121521_095730,day2_trial1,Chamber 2,HFD,female,APOE22HN,Day2_Acclimation,14,9.567,2.13,5.31,137.22,0,1339,November
