,Test,Animal,Animal_ID,Treatment,Code,Stage,Trial,Apparatus,Date,Duration,Distance,Mean speed,Max speed,Freezing episodes,Time freezing,Time mobile,NE : time,NE : distance,NE : average speed,NW : time,NW : distance,NW : average speed,SE : time,SE : distance,SE : average speed,SW : time,SW : distance,SW : average speed,Island : distance to first entry,Island : latency to first entry,Thigmitaxis : time,Thigmitaxis : distance,Thigmitaxis : average speed,Diet,Sex,Age
15,15,31125,31125,NOS2_KO,A,Day1,1,MWM_150,2/7/22,60,16.399,0.273,12.613,0,0,60,4.5,3.585,0.803,14.7,2.933,0.2,11.8,1.912,0.162,28.8,7.918,0.275,,,40.7,9.939,0.244,,F,
16,16,31130,31130,NOS2_KO,A,Day1,1,MWM_150,2/7/22,60,10.371,0.173,0.297,0,0,60,1.3,0.267,0.2,32.1,5.894,0.183,3.6,0.462,0.125,22.9,3.748,0.164,,,43,6.705,0.156,,F,
17,17,31131,31131,NOS2_KO,A,Day1,1,MWM_150,2/7/22,9.4,1.759,0.188,0.337,0,0,9.4,0,0,<ufunc 'isnan'>,4.1,0.687,0.166,0,0,<ufunc 'isnan'>,5.2,1.072,0.206,,4.3,2,0.335,0.166,,F,
18,18,31132,31132,NOS2_KO,A,Day1,1,MWM_150,2/7/22,60,16.212,0.27,4.42,0,0,60,1.8,1.545,0.857,11.4,3.233,0.285,16.4,2.615,0.16,28.3,8.435,0.298,,,34.4,8.183,0.239,,F,
19,19,B217,217,LRRK2/NOS2,B,Day1,2,MWM_150,2/7/22,60,8.061,0.134,0.436,0,0,60,17.7,2.115,0.119,21.1,2.347,0.112,6.1,0.929,0.153,15.2,2.669,0.176,,,25.7,2.542,0.099,,F,
20,20,B218,218,LRRK2/NOS2,B,Day1,2,MWM_150,2/7/22,60,12.683,0.212,1.771,0,0,60,23.7,4.515,0.19,0,0,<ufunc 'isnan'>,28.3,5.896,0.209,7.3,2.129,0.288,,,29.7,5.667,0.19,,F,
21,21,B219,219,LRRK2/NOS2,B,Day1,2,MWM_150,2/7/22,20.8,12.901,0.621,12.628,0,0,20.8,8.7,5.937,0.682,6.6,1.744,0.265,1.9,4.372,2.26,3.6,0.849,0.238,,15.7,5.2,4.926,0.947,,F,
22,22,B220,220,LRRK2/NOS2,B,Day1,2,MWM_150,2/7/22,60,15.633,0.26,2.289,0,0,60,12.8,4.167,0.325,12.9,2.551,0.198,18.3,4.353,0.238,16,4.562,0.285,,,24.3,5.772,0.238,,F,
23,23,B209,209,LRRK2/NOS2,B,Day1,2,MWM_150,2/7/22,24,4.854,0.202,0.316,0,0,24,12,2.417,0.202,1.8,0.435,0.238,6.1,1.194,0.196,3.8,0.808,0.211,,18.9,4.5,0.892,0.196,,F,
24,24,B210,210,LRRK2/NOS2,B,Day1,2,MWM_150,2/7/22,60,12.576,0.21,0.36,0,0,60,26.9,5.295,0.197,1.7,0.318,0.187,23.6,5.203,0.22,6.3,1.399,0.223,,,40.7,8.391,0.206,,F,
25,25,B211,211,LRRK2/NOS2,B,Day1,2,MWM_150,2/7/22,50.8,11.896,0.234,0.461,0,0,50.8,18.3,4.232,0.231,12.2,2.819,0.232,10,2.373,0.237,10.1,2.405,0.238,,,22.9,5.212,0.228,,F,
26,26,B212,212,LRRK2/NOS2,B,Day1,2,MWM_150,2/7/22,60,14.111,0.235,1.581,0,0,60,30.3,6.575,0.217,5.2,0.727,0.14,14.1,3.332,0.237,9.9,3.365,0.341,,,43.7,9.236,0.211,,F,
27,27,B214,214,LRRK2/NOS2,B,Day1,2,MWM_150,2/7/22,60,35.329,0.589,9.699,0,0,60,43.9,17.399,0.397,2.1,0.409,0.192,5.5,1.054,0.193,6,13.433,2.238,,,33.3,15.174,0.455,,F,
28,28,B213,213,LRRK2/NOS2,B,Day1,2,MWM_150,2/7/22,60,11.041,0.184,0.322,0,0,60,26.7,4.668,0.175,5,1.11,0.222,19,3.737,0.196,8.3,1.431,0.172,,,29.4,5.373,0.183,,M,
29,29,31133,31133,NOS2_KO,A,Day1,2,MWM_150,2/7/22,60,13.903,0.232,9.552,0,0,60,28.9,6.875,0.238,0,0,<ufunc 'isnan'>,24.2,4.574,0.189,5.1,2.12,0.353,,,44.2,9.492,0.215,,M,
30,30,31134,31134,NOS2_KO,A,Day1,2,MWM_150,2/7/22,60,18.3,0.305,4.353,0,0,60,27.8,8.522,0.306,20.7,3.793,0.184,4,0.846,0.21,7.4,5.139,0.692,,,40.8,10.538,0.258,,M,
31,31,31135,31135,NOS2_KO,A,Day1,2,MWM_150,2/7/22,60,10.754,0.179,5,0,0,60,17,2.306,0.136,33.2,5.588,0.168,0.5,0.095,0.204,9.2,2.764,0.298,,,45.9,6.961,0.151,,M,
32,32,31124,31124,NOS2_KO,A,Day1,2,MWM_150,2/7/22,60,21.2,0.353,10.772,0,0,60,21.1,6.869,0.327,3.1,0.627,0.202,14.3,3.119,0.218,18.3,8.772,0.482,,,38.7,10.609,0.274,,F,
33,33,31125,31125,NOS2_KO,A,Day1,2,MWM_150,2/7/22,60,12.235,0.204,0.686,0,0,60,26.4,5.205,0.197,4.1,0.979,0.237,13.9,2.854,0.206,15.6,3.196,0.206,,,28,4.557,0.163,,F,
34,34,31130,31130,NOS2_KO,A,Day1,2,MWM_150,2/7/22,60,19.264,0.321,4.014,0,0,60,9.6,4.385,0.462,18.1,3.469,0.191,12.2,2.567,0.211,18.9,7.374,0.39,,,35.5,9.358,0.264,,F,
35,35,31131,31131,NOS2_KO,A,Day1,2,MWM_150,2/7/22,60,12.895,0.22,1.36,0,0,60,17.7,5.133,0.289,29.6,3.908,0.132,9.7,2.112,0.216,1,1.4,1.354,,,39.1,7.255,0.185,,F,
36,36,31132,31132,NOS2_KO,A,Day1,2,MWM_150,2/7/22,27.6,6.706,0.243,1.027,0,0,27.6,1.5,0.345,0.225,8.4,1.807,0.214,7,1.373,0.197,10.6,3.182,0.299,,22.5,7.6,1.552,0.204,,F,
37,37,B217,217,LRRK2/NOS2,B,Day1,3,MWM_150,2/7/22,60,7.266,0.121,0.216,0,0,60,20.9,2.761,0.133,35.5,3.839,0.108,2.7,0.452,0.169,0.8,0.157,0.197,,,28.4,2.967,0.104,,F,
38,38,B218,218,LRRK2/NOS2,B,Day1,3,MWM_150,2/7/22,60,12.087,0.201,0.323,0,0,60,26.5,5.396,0.203,23.4,4.677,0.2,2.5,0.443,0.179,7.5,1.57,0.208,,,20.7,3.7,0.178,,F,
39,39,B219,219,LRRK2/NOS2,B,Day1,3,MWM_150,2/7/22,60,15.657,0.261,3.514,0,0,60,17.8,5.037,0.284,21.2,4.227,0.2,10.7,2.619,0.246,9.6,3.598,0.378,,,32.3,7.785,0.24,,F,
