"","Group.1","Group.2","Group.3","Group.4","Test","Animal","Treatment","Diet","APOE","Sex","Code","Stage","Trial","LaunchQuad","Apparatus","Date","Winding","Duration","Distance","Mean.speed","NE.time","NE.distance","NE...average.speed","NW.time","NW.distance","NW...average.speed","SE.time","SE.distance","SE...average.speed","SW.time","SW.distance","SW...average.speed","NormSWTime","NormSWDist","Island...distance.to.first.entry","Island...latency.to.first.entry","Thigmitaxis...time","Thigmitaxis...distance","Thigmitaxis...average.speed","SW...latency.to.first.entry","residuals"
"46",52,3,1,1,78,52,NA,NA,3,1,NA,1,3,NA,NA,NA,NA,52.3,0.93695,0.1755,19.75,0.35965,0.183,5.3,0.0951,0.1795,13.9,0.3013,0.2145,13.05,0.1764,0.1445,0.275624065769806,0.22861893730035,NA,NA,18.55,4.0375,0.2045,NA,2.95336336755262
"47",60,3,1,1,39,60,NA,NA,3,1,NA,1,3,NA,NA,NA,NA,33.75,0.59035,0.1325,9.6,0.173,NA,9.25,0.1483,NA,4.9,0.1019,0.1335,8.4,0.133,0.145,0.519166666666667,0.559236359592802,NA,NA,22.25,3.839,0.1285,NA,-0.986877149917432
"48",71,3,1,1,21,71,NA,NA,3,1,NA,1,2,NA,NA,NA,NA,47.45,1.10645,0.2295,11.9,0.26975,0.2295,16.35,0.3869,0.2365,4.55,0.1363,NA,13.05,0.2702,0.17,0.257055873925501,0.204526244285942,NA,NA,30.25,6.9105,0.2265,NA,2.06203750577083
"49",72,3,1,1,41,72,NA,NA,3,1,NA,1,3,NA,NA,NA,NA,51.5,1.1114,0.215,12.45,0.2801,0.2255,17.4,0.3619,0.2105,11.2,0.26505,0.2345,9.65,0.1862,0.206,0.202015503875969,0.176770851530984,NA,NA,16.15,3.1535,0.193,NA,-1.09862499430628
"50",73,3,1,1,23,73,NA,NA,3,1,NA,1,2,NA,NA,NA,NA,12.9,0.24315,0.185,0,0,NA,5.8,0.0842,0.167,0,0,NA,7.1,0.159,0.2055,0.545197400096293,0.622267338926949,1.674,8.9,4.7,0.4455,0.144,NA,-3.15344395998306
"51",74,3,1,1,43,74,NA,NA,3,1,NA,1,3,NA,NA,NA,NA,20.45,0.3554,0.17,7.35,0.13955,NA,2.3,0.06015,NA,4.25,0.0862,NA,6.55,0.06955,0.106,0.344056706652127,0.210313968614435,3.4275,16.35,5.65,0.8835,0.146,NA,-3.45585344282145
"52",80,3,1,1,27,80,NA,NA,3,1,NA,1,2,NA,NA,NA,NA,11.15,0.15425,0.136,0,0,NA,3.7,0.0727,NA,0.45,0.0079,NA,6.95,0.07365,0.1025,0.6616211745244,0.556394854501501,1.345,7.05,0,0,NA,NA,-2.49464827058847
"53",81,3,1,1,45,81,NA,NA,3,1,NA,1,3,NA,NA,NA,NA,34.6,0.66155,0.162,2.7,0.0602,NA,0.75,0.0159,NA,3.2,0.0756,0.22,4.35,0.0541,0.142,0.353188405797101,0.289963668991646,NA,NA,23.65,4.557,0.17,NA,-5.52380516700193
"54",82,3,1,1,29,82,NA,NA,3,1,NA,1,2,NA,NA,NA,NA,60,1.16195,0.194,3.6,0.0677,NA,13.5,0.2837,0.217,0.05,0.0017,NA,3.9,0.08995,NA,0.065,0.0743081371334159,NA,NA,38.9,7.1885,0.1815,NA,-6.50199827028003
"55",83,3,1,1,47,83,NA,NA,3,1,NA,1,3,NA,NA,NA,NA,60,1.16815,0.195,2.6,0.0613,0.231,10.85,0.2037,0.191,5.2,0.1013,0.1955,9.9,0.18815,0.1905,0.165,0.161030718910795,NA,NA,31.55,6.137,0.1945,NA,-0.51850430475747
