"","Animal","Genotype","Diet","Day","Sex","Time","Distance","TimeNorm","DistNorm","Quadrant"
"493","210222_11","E33","Control","Probe_D8","F",6.6,0.1731,0.140425531914894,0.15343024286474,"SE"
"494","210222_12","E33","Control","Probe_D8","F",16.5,0.2877,0.278246205733558,0.269609221253866,"SE"
"495","210222_13","E33","Control","Probe_D8","M",11.1,0.2355,0.201818181818182,0.232730506967092,"SE"
"496","210222_14","E33","Control","Probe_D8","M",3.3,0.0535,0.0576923076923077,0.0499673111048847,"SE"
"497","210222_15","E33","Control","Probe_D8","M",8,0.135,0.133333333333333,0.136612021857923,"SE"
"498","210503-1","E33","Control","Probe_D8","M",21.5,0.5358,0.358333333333333,0.366133661336613,"SE"
"499","210503-2","E33","Control","Probe_D8","M",11.9,0.2744,0.230174081237911,0.225491001725696,"SE"
"500","210503-3","E33","Control","Probe_D8","M",6.3,0.1287,0.112299465240642,0.113622318354375,"SE"
"501","210503-4","E33","Control","Probe_D8","M",2.1,0.0382,0.0443037974683544,0.0398622560784723,"SE"
"502","210503-5","E33","Control","Probe_D8","M",25.5,0.4371,0.452930728241563,0.472081218274112,"SE"
"503","210503-6","E33","Control","Probe_D8","M",2.8,0.0564,0.0577319587628866,0.0677396108575546,"SE"
"504","210503-7","E33","Control","Probe_D8","F",14,0.2664,0.233333333333333,0.236736870167955,"SE"
"505","210503-8","E33","Control","Probe_D8","F",8.8,0.2193,0.20137299771167,0.212912621359223,"SE"
"506","210503-9","E33","Control","Probe_D8","F",6.2,0.1299,0.110320284697509,0.0999000230715989,"SE"
"507","210503-10","E33","Control","Probe_D8","F",13.1,0.3067,0.223931623931624,0.237696659691545,"SE"
"508","210503-11","E33","Control","Probe_D8","F",5.3,0.1115,0.127710843373494,0.134808366582034,"SE"
"509","210503-12","E33","Control","Probe_D8","F",7.6,0.16,0.143126177024482,0.140969162995595,"SE"
"510","210503-13","E33","Control","Probe_D8","F",8.5,0.2078,0.150709219858156,0.176595563865046,"SE"
"511","210503-14","E33","Control","Probe_D8","F",13.5,0.2921,0.310344827586207,0.306152394927156,"SE"
"512","210503-15","E33","Control","Probe_D8","F",9.2,0.2224,0.189690721649485,0.196258383339216,"SE"
"513","210503-16","E33","Control","Probe_D8","F",5.4,0.1325,0.195652173913043,0.221386800334169,"SE"
