,baseMean,log2FoldChange,lfcSE,pvalue,padj
ENSMUSG00000022052,238.5195967,0.214998744,0.286941294,0.096291018,0.61637406
ENSMUSG00000022054,1.458819984,0.045539339,0.238038735,0.145323083,0.718806655
ENSMUSG00000022057,3.885531152,-0.029830443,0.234683278,0.224863276,0.824103599
ENSMUSG00000022064,29.74961926,0.027314778,0.225060567,0.692634378,0.999871382
ENSMUSG00000022070,17.42129238,0.102804494,0.262486679,0.022310841,0.320588429
ENSMUSG00000022074,18.20680459,-0.018258027,0.227244605,0.72719064,0.999871382
ENSMUSG00000022075,210.3282991,0.02377597,0.192187623,0.83082098,0.999871382
ENSMUSG00000022076,0.182336649,-0.000185222,0.233304671,0.955002297,0.999871382
ENSMUSG00000022085,8.102124689,0.002698863,0.232084431,0.925079398,0.999871382
ENSMUSG00000022089,607.1034014,-0.164270767,0.18858138,0.199738724,0.795607162
ENSMUSG00000022090,589.6444489,-0.083829665,0.167158452,0.480975968,0.999871382
ENSMUSG00000022091,121.033368,0.020202604,0.225851502,0.792159478,0.999871382
ENSMUSG00000022092,184.6869611,-6.56065E-05,0.207377546,0.999058169,0.999871382
ENSMUSG00000022094,29.79378166,0.032137465,0.230034225,0.554176136,0.999871382
ENSMUSG00000022095,180.933393,0.066305035,0.184687428,0.578541657,0.999871382
ENSMUSG00000022096,13.09282905,0.018454875,0.233141213,0.191573857,0.786888766
ENSMUSG00000022098,11.49839925,-0.015942479,0.230233042,0.685721413,0.999871382
ENSMUSG00000022099,1210.766891,0.014815147,0.207198094,0.864587849,0.999871382
ENSMUSG00000022100,1990.162233,0.113134512,0.236806111,0.236239122,0.834562246
ENSMUSG00000022101,0.409517767,0.002565166,0.233318089,0.851501908,0.999871382
ENSMUSG00000022102,265.2428962,-0.05009775,0.200569126,0.64046687,0.999871382
ENSMUSG00000022103,13.12829832,0.028329668,0.22972464,0.524990577,0.999871382
ENSMUSG00000022105,631.2529121,0.08894731,0.228405862,0.35030534,0.940881197
ENSMUSG00000022106,185.2346529,0.029535821,0.201806291,0.786260525,0.999871382
ENSMUSG00000022108,16492.32134,0.065211032,0.157984592,0.570831819,0.999871382
ENSMUSG00000022109,82.18133236,0.03797618,0.21582836,0.674360748,0.999871382
ENSMUSG00000022110,173.032147,0.073790292,0.204480538,0.508093176,0.999871382
ENSMUSG00000022111,144.7970788,0.047770784,0.204095013,0.654380366,0.999871382
ENSMUSG00000022113,3.46313229,-0.002474414,0.230787663,0.937799655,0.999871382
ENSMUSG00000022114,20.9146433,0.041739791,0.227211946,0.5561082,0.999871382
ENSMUSG00000022119,115.5657141,0.211489973,0.282523365,0.106448547,0.640976751
ENSMUSG00000022120,21.32092426,0.052610833,0.233921404,0.363821189,0.945246445
ENSMUSG00000022122,138.3814503,0.027240966,0.229283057,0.593118486,0.999871382
ENSMUSG00000022123,0.916475514,0.002895574,0.232765534,0.965080095,0.999871382
ENSMUSG00000022124,217.0916491,0.270682281,0.373253169,0.046590875,0.449431237
ENSMUSG00000022125,245.4143142,0.207052477,0.246437055,0.137868423,0.703885583
ENSMUSG00000022126,188.0784217,-0.045526261,0.214242047,0.616536627,0.999871382
ENSMUSG00000022129,1.714337128,0.003643995,0.232185679,0.866835409,0.999871382
ENSMUSG00000022130,34.00314441,-0.02098521,0.222162669,0.763880511,0.999871382
ENSMUSG00000022131,33.59662796,0.006799579,0.217976053,0.931821313,0.999871382
ENSMUSG00000022132,12.45087274,0.043048657,0.234129476,0.349712412,0.94029984
ENSMUSG00000022136,308.2215443,0.165539556,0.1877939,0.232744662,0.830598718
