Test,Animal,Treatment,Code,Stage,Trial,Apparatus,Date,Duration,Distance,First zone entered,Mean speed,NE : time,NE : distance,NE : average speed,NW : time,NW : distance,NW : average speed,SE : time,SE : distance,SE : average speed,SW : time,SW : distance,SW : latency to first entry,SW : average speed,Island : distance to first entry,Island : latency to first entry,Thigmitaxis : time,Thigmitaxis : distance,Thigmitaxis : average speed,Diet
349,210503_19,E22_M,A,Day4,4,MWM_150,5/13/21,8.7,0.796,SW,0.092,0,0,,0,0,,0,0,,8.7,0.796,0,0.092,0.761,4.6,0,0,,Control
350,210503_20,E22_M,A,Day4,4,MWM_150,5/13/21,4.7,0.036,SW,0.008,0,0,,0,0,,0,0,,4.7,0.036,0,0.008,0.036,0.6,0,0,,Control
351,210503_21,E22_F,D,Day4,4,MWM_150,5/13/21,9.1,1.139,SW,0.126,0,0,,0.6,0,0,0,0,,7.3,1.036,0,0.142,0.59,5,1.2,0.104,0.088,Control
352,210503_22,E22_F,D,Day4,4,MWM_150,5/13/21,53.6,6.921,SW,0.129,4.4,0.758,0.174,1.5,0.309,0.206,15.4,2.707,0.175,26,2.369,0,0.091,6.85,49.5,6.3,0.778,0.124,Control
353,210503_1,E33_M,C,Day5,1,MWM_150,5/14/21,7.8,1.76,NW,0.227,0.6,0.183,0.322,1.2,0.221,0.177,0.9,0.325,0.361,4.5,0.966,2.7,0.215,0.993,3.7,0.6,0.065,0.118,Control
354,210503_2,E33_M,C,Day5,1,MWM_150,5/14/21,5.7,0.844,SW,0.147,0,0,,0,0,,0,0,,5.7,0.844,0,0.147,0.289,1.7,0,0,,Control
355,210503_3,E33_M,C,Day5,1,MWM_150,5/14/21,24.5,2.679,SW,0.109,2.7,0.593,0.222,2.7,0.547,0.203,0.8,0.24,0.287,18.3,1.299,0,0.071,2.227,20.4,0,0,,Control
356,210503_4,E33_M,C,Day5,1,MWM_150,5/14/21,6.1,1.017,NW,0.166,0,0,,1,0.129,0.127,0,0.057,1.717,4.2,0.77,1,0.183,0.315,2,0.9,0.062,0.071,Control
357,210503_5,E33_M,C,Day5,1,MWM_150,5/14/21,10.3,0.298,SW,0.029,0,0,,0,0,,0,0,,10.3,0.298,0,0.029,0.152,6.3,0,0,,Control
358,210503_6,E33_M,C,Day5,1,MWM_150,5/14/21,4.6,0.091,SW,0.02,0,0,,0,0,,0,0,,4.6,0.091,0,0.02,,0.5,0,0,,Control
359,210503_7,E33_F,B,Day5,1,MWM_150,5/14/21,17.9,2.511,NW,0.141,1.6,0.294,0.184,2.4,0.472,0.198,0.5,0.108,0.232,12.3,1.516,1,0.123,2.438,13.8,1.1,0.121,0.11,Control
360,210503_8,E33_F,B,Day5,1,MWM_150,5/14/21,60,12.846,NE,0.214,1.2,0.26,0.214,6.5,1.669,0.256,9.1,2.049,0.225,3.9,0.957,6.4,0.247,,,40,8.093,0.202,Control
361,210503_9,E33_F,B,Day5,1,MWM_150,5/14/21,12.5,1.661,SW,0.133,0,0,,1.2,0.202,0.173,3,0.553,0.184,8.3,0.906,0,0.109,1.576,8.4,0,0,,Control
362,210503_10,E33_F,B,Day5,1,MWM_150,5/14/21,35.2,7.444,NW,0.212,2.7,0.666,0.25,11.7,2.754,0.235,1.4,0.337,0.246,19.4,3.687,2.2,0.19,7.371,31.1,0,0,,Control
363,210503_11,E33_F,B,Day5,1,MWM_150,5/14/21,58,8.681,SW,0.15,11.4,1.845,0.162,25.2,3.924,0.156,5.3,0.877,0.164,16.1,2.035,0,0.126,8.593,54,0,0,,Control
364,210503_12,E33_F,B,Day5,1,MWM_150,5/14/21,20.5,3.484,SW,0.17,0,0,,0,0,,4.4,0.835,0.191,10.5,1.944,0,0.184,2.887,16.4,5.6,0.705,0.127,Control
365,210503_13,E33_F,B,Day5,1,MWM_150,5/14/21,17,3.154,NW,0.186,2.8,0.689,0.246,4.3,1.062,0.245,1.1,0.243,0.228,7.3,0.841,1.9,0.116,3.113,12.9,1.5,0.318,0.207,Control
366,210503_14,E33_F,B,Day5,1,MWM_150,5/14/21,5.6,1.048,SW,0.187,0,0,,0,0,,0,0,,5.5,0.836,0,0.153,0.293,1.5,0.1,0.213,1.589,Control
367,210503_15,E33_F,B,Day5,1,MWM_150,5/14/21,15.2,2.769,SW,0.183,0,0,,3.2,0.754,0.238,1.6,0.423,0.265,10.4,1.591,0,0.153,2.691,11.1,0,0,,Control
368,210503_16,E33_F,B,Day5,1,MWM_150,5/14/21,60,10.311,SE,0.172,8.9,1.836,0.207,9.9,2.007,0.202,5.2,1.073,0.206,4.8,1.047,2.8,0.217,,,31.2,4.348,0.14,Control
369,210503_17,E33_F,B,Day5,1,MWM_150,5/14/21,5.1,0.614,SW,0.119,0,0,,0,0,,0,0,,5.1,0.614,0,0.119,0.117,1.1,0,0,,Control
370,210503_18,E22_M,A,Day5,1,MWM_150,5/14/21,10.9,1.109,SW,0.101,0,0,,3.5,0.549,0.157,0,0,,7.4,0.56,0,0.075,1.073,6.9,0,0,,Control
371,210503_19,E22_M,A,Day5,1,MWM_150,5/14/21,9.8,0.853,NW,0.087,0,0,,0.6,0.036,0.062,2.9,0.4,0.136,6.3,0.418,0.6,0.067,0.781,5.7,0,0,,Control
372,210503_20,E22_M,A,Day5,1,MWM_150,5/14/21,5.5,0.27,SW,0.049,0,0,,0,0,,0,0,,5.5,0.27,0,0.049,0.146,1.4,0,0,,Control
373,210503_21,E22_F,D,Day5,1,MWM_150,5/14/21,6.8,0.855,SW,0.125,0,0,,0,0,,0,0,,6.8,0.855,0,0.125,0.461,2.8,0,0,,Control
374,210503_22,E22_F,D,Day5,1,MWM_150,5/14/21,5.3,0.84,SW,0.16,0,0,,0,0,,0,0,,4.9,0.84,0,0.17,,1.2,0.3,0,0,Control
375,210503_1,E33_M,C,Day5,2,MWM_150,5/14/21,8.2,0.94,SE,0.115,0,0,,0,0,,2.6,0.618,0.235,5.6,0.323,2.6,0.058,0.94,4.2,0,0,,Control
376,210503_2,E33_M,C,Day5,2,MWM_150,5/14/21,57.8,12.026,SE,0.208,3,0.737,0.245,10.3,2.276,0.22,11.8,2.845,0.241,20.4,3.897,4,0.191,11.949,53.7,12.2,2.271,0.186,Control
377,210503_3,E33_M,C,Day5,2,MWM_150,5/14/21,9.4,0.964,SE,0.103,0,0,,0,0,,3.3,0.539,0.165,6.1,0.424,3.3,0.07,0.926,5.3,0,0,,Control
378,210503_4,E33_M,C,Day5,2,MWM_150,5/14/21,8.8,1.076,SE,0.123,0,0,,0,0,,3.8,0.819,0.215,4.9,0.257,3.8,0.052,1.043,4.7,0,0,,Control
379,210503_5,E33_M,C,Day5,2,MWM_150,5/14/21,12.4,0.718,SE,0.058,0,0,,0,0,,7.3,0.467,0.064,5.1,0.252,7.3,0.05,0.683,8.3,0,0,,Control
380,210503_6,E33_M,C,Day5,2,MWM_150,5/14/21,16.4,2.494,SE,0.152,0,0,,2.4,0.392,0.165,0.7,0.106,0.148,13.3,1.996,0.7,0.15,2.375,12.4,0,0,,Control
381,210503_7,E33_F,B,Day5,2,MWM_150,5/14/21,5.7,0.475,SE,0.083,0,0,,0,0,,0.7,0.126,0.176,5,0.35,0.7,0.07,0.361,1.6,0,0,,Control
382,210503_8,E33_F,B,Day5,2,MWM_150,5/14/21,60,11.924,SE,0.199,2.3,0.592,0.261,3.2,0.844,0.264,2.4,0.514,0.216,2.5,0.587,11.2,0.238,,,49.7,9.386,0.189,Control
383,210503_9,E33_F,B,Day5,2,MWM_150,5/14/21,29.6,6.044,SE,0.204,3.9,1.123,0.288,0.9,0.269,0.31,3.8,0.586,0.154,18.6,3.738,1.7,0.201,5.383,25.5,2.4,0.327,0.138,Control
384,210503_10,E33_F,B,Day5,2,MWM_150,5/14/21,19.4,3.677,SE,0.19,1.9,0.509,0.263,7.9,1.885,0.238,2.4,0.574,0.238,7.1,0.708,6.1,0.1,3.569,15.3,0,0,,Control
385,210503_11,E33_F,B,Day5,2,MWM_150,5/14/21,60,10.912,SE,0.182,10.1,1.914,0.19,5.3,1.076,0.202,12.5,2.392,0.191,19.6,3.531,6.8,0.18,,,12.4,1.998,0.161,Control
386,210503_12,E33_F,B,Day5,2,MWM_150,5/14/21,60,12.274,Thigmitaxis,0.205,12.3,2.663,0.216,4.5,0.906,0.203,25.9,5.818,0.225,5.9,1.309,16.2,0.223,,,11.4,1.578,0.138,Control
387,210503_13,E33_F,B,Day5,2,MWM_150,5/14/21,7.7,1.041,SE,0.135,0.7,0.178,0.268,0.1,0.039,0.293,1.4,0.324,0.23,5.5,0.5,0.4,0.091,0.936,3.6,0,0,,Control
388,210503_14,E33_F,B,Day5,2,MWM_150,5/14/21,31.8,6.457,Thigmitaxis,0.203,2.6,0.658,0.25,0.6,0.093,0.164,8.6,2.169,0.251,13.3,2.19,4.8,0.165,6.424,27.7,6.6,1.348,0.203,Control
389,210503_15,E33_F,B,Day5,2,MWM_150,5/14/21,19,3.744,Thigmitaxis,0.197,3.3,0.793,0.243,0,0,,5.1,1.423,0.279,7.9,1.02,2.2,0.129,3.659,15,2.8,0.508,0.184,Control
390,210503_16,E33_F,B,Day5,2,MWM_150,5/14/21,34.4,6.289,SE,0.183,0,0,,0,0,,0.6,0.042,0.075,7.5,0.868,0.6,0.116,6.163,30.3,26.3,5.378,0.204,Control
391,210503_17,E33_F,B,Day5,2,MWM_150,5/14/21,60,8.861,SE,0.148,2.2,0.363,0.163,2.5,0.386,0.154,26.4,4.348,0.165,14.7,2.12,13,0.144,,,14.2,1.644,0.116,Control
392,210503_18,E22_M,A,Day5,2,MWM_150,5/14/21,23.1,3.322,SE,0.144,0,0,,0,0,,13,2.097,0.162,10.1,1.225,4.8,0.121,3.253,19,0,0,,Control
393,210503_19,E22_M,A,Day5,2,MWM_150,5/14/21,12,1.355,SE,0.113,0,0,,0,0,,6.2,0.973,0.156,5.8,0.382,6.2,0.066,1.319,8,0,0,,Control
394,210503_20,E22_M,A,Day5,2,MWM_150,5/14/21,9.4,0.993,SE,0.105,0,0,,0,0,,3.9,0.644,0.163,5.5,0.349,3.9,0.064,0.902,5.4,0,0,,Control
395,210503_21,E22_F,D,Day5,2,MWM_150,5/14/21,8.9,0.818,SE,0.092,0,0,,0,0,,1.6,0.246,0.153,7.3,0.572,1.6,0.078,0.78,4.9,0,0,,Control
