Test,Animal,Treatment,Code,Stage,Trial,Apparatus,Date,Duration,Distance,First zone entered,Mean speed,NE : time,NE : distance,NE : average speed,NW : time,NW : distance,NW : average speed,SE : time,SE : distance,SE : average speed,SW : time,SW : distance,SW : latency to first entry,SW : average speed,Island : distance to first entry,Island : latency to first entry,Thigmitaxis : time,Thigmitaxis : distance,Thigmitaxis : average speed,Diet
200,210222_13,E33_M,A,Day3,4,MWM_150,3/3/2021,21.2,3.655,SW,0.172,3.0,0.671,0.221,2.9,0.597,0.206,6.2,1.342,0.215,9.1,1.045,0.0,0.115,3.547,17.2,0.0,0.000,,Control
201,210222_14,E33_M,A,Day3,4,MWM_150,3/3/2021,8.0,0.989,SW,0.124,0.0,0.000,,2.3,0.584,0.250,0.0,0.000,,5.6,0.405,0.0,0.072,0.878,3.9,0.0,0.000,,Control
202,210222_15,E33_M,A,Day3,4,MWM_150,3/3/2021,4.7,0.201,SW,0.042,0.0,0.000,,0.0,0.000,,0.0,0.000,,4.7,0.201,0.0,0.042,0.063,0.7,0.0,0.000,,Control
203,210222_16,E22_M,C,Day3,4,MWM_150,3/3/2021,14.5,1.380,SW,0.095,0.0,0.000,,0.0,0.000,,2.1,0.322,0.151,12.4,1.057,0.0,0.085,0.721,10.5,2.6,0.357,0.138,Control
204,210222_17,E22_F,D,Day3,4,MWM_150,3/3/2021,6.6,0.642,SW,0.097,0.0,0.000,,0.0,0.000,,0.0,0.000,,6.6,0.642,0.0,0.097,0.244,2.5,0.0,0.000,,Control
205,210222_1,E3HN_F,E,Day4,1,MWM_150,3/4/2021,18.9,2.379,SE,0.126,0.0,0.000,,0.4,0.073,0.169,7.3,1.080,0.148,11.2,1.226,6.6,0.109,2.334,14.8,0.4,0.038,0.105,Control
206,210222_2,E3HN_F,E,Day4,1,MWM_150,3/4/2021,60.0,11.592,SE,0.193,9.7,2.041,0.210,28.2,5.701,0.202,13.0,2.196,0.169,9.1,1.655,4.1,0.181,,,1.5,0.371,0.242,Control
207,210222_3,E3HN_M,F,Day4,1,MWM_150,3/4/2021,16.6,1.503,SE,0.091,0.0,0.000,,0.0,0.000,,2.7,0.303,0.114,13.9,1.200,2.7,0.086,1.503,12.5,3.0,0.313,0.104,Control
208,210222_4,E3HN_M,F,Day4,1,MWM_150,3/4/2021,11.6,0.958,SE,0.082,0.0,0.000,,0.0,0.000,,2.0,0.381,0.195,9.7,0.577,2.0,0.060,0.851,7.6,0.0,0.000,,Control
209,210222_5,E3HN_M,F,Day4,1,MWM_150,3/4/2021,10.6,1.058,SE,0.099,0.0,0.000,,0.0,0.000,,3.9,0.582,0.149,6.7,0.476,3.9,0.071,1.022,6.6,0.0,0.000,,Control
210,210222_6,E3HN_M,F,Day4,1,MWM_150,3/4/2021,11.5,0.994,SE,0.087,0.0,0.000,,0.0,0.000,,6.2,0.681,0.110,5.3,0.313,6.2,0.060,0.956,7.4,0.0,0.000,,Control
211,210222_7,E33_F,B,Day4,1,MWM_150,3/4/2021,9.8,1.156,SE,0.118,0.0,0.000,,0.0,0.000,,1.2,0.179,0.148,8.6,0.977,1.2,0.114,0.982,5.7,0.6,0.116,0.184,Control
212,210222_8,E33_F,B,Day4,1,MWM_150,3/4/2021,11.6,1.873,SE,0.162,0.0,0.000,,1.0,0.183,0.183,2.1,0.441,0.207,8.5,1.249,2.1,0.148,1.732,7.5,0.0,0.000,,Control
213,210222_9,E33_F,B,Day4,1,MWM_150,3/4/2021,7.4,0.885,SE,0.119,0.0,0.000,,0.0,0.000,,2.0,0.473,0.237,5.4,0.411,2.0,0.076,0.783,3.3,0.6,0.090,0.159,Control
214,210222_10,E33_F,B,Day4,1,MWM_150,3/4/2021,11.2,1.307,SE,0.117,0.0,0.000,,0.0,0.000,,4.6,0.658,0.143,6.6,0.650,4.6,0.098,1.238,7.2,0.0,0.000,,Control
215,210222_11,E33_F,B,Day4,1,MWM_150,3/4/2021,5.3,0.790,SE,0.149,0.0,0.000,,0.0,0.000,,0.4,0.000,0.000,4.9,0.790,0.4,0.160,0.249,1.2,0.0,0.000,,Control
216,210222_12,E33_F,B,Day4,1,MWM_150,3/4/2021,20.0,3.117,SE,0.156,0.6,0.113,0.199,1.7,0.438,0.253,7.3,0.928,0.127,10.5,1.638,4.9,0.157,2.972,16.0,2.7,0.116,0.043,Control
217,210222_13,E33_M,A,Day4,1,MWM_150,3/4/2021,40.1,6.988,SE,0.174,5.5,1.148,0.207,4.3,0.925,0.213,16.5,2.852,0.172,13.7,2.064,10.2,0.150,6.594,36.1,0.0,0.000,,Control
218,210222_14,E33_M,A,Day4,1,MWM_150,3/4/2021,11.6,1.482,SW,0.128,0.0,0.000,,0.0,0.000,,2.4,0.414,0.170,9.1,1.069,0.0,0.117,1.404,7.5,0.0,0.000,,Control
