Test,Animal,Treatment,Code,Stage,Trial,Apparatus,Date,Duration,Distance,Mean speed,NE : time,NE : distance,NE : average speed,NW : time,NW : distance,NW : average speed,SE : time,SE : distance,SE : average speed,SW : time,SW : distance,SW : average speed,Island : distance to first entry,Island : latency to first entry,Thigmitaxis : time,Thigmitaxis : distance,Thigmitaxis : average speed,Diet
48,220808_14,E2HN_M_18mth_HFD,B,Day1,3,MWM_150,8/15/22,60,8.799,0.147,8,1.314,0.164,11.3,1.364,0.12,13,2.213,0.17,27.6,3.908,0.141,,,31,4.776,0.154,HFD
49,220808_15,E2HN_M_18mth_HFD,B,Day1,3,MWM_150,8/15/22,60,9.482,0.158,11.8,1.928,0.163,19.7,2.533,0.129,17.8,2.779,0.156,10.7,2.242,0.21,,,30.8,5.1,0.165,HFD
50,220808_16,E2HN_M_18mth_HFD,B,Day1,3,MWM_150,8/15/22,60,6.76,0.113,4.8,0.622,0.13,44.1,4.624,0.105,3.8,0.497,0.13,7.3,1.017,0.139,,,23.2,2.85,0.123,HFD
51,220808_17,E2HN_M_18mth_HFD,B,Day1,3,MWM_150,8/15/22,38.4,7.589,0.198,10.3,2.149,0.209,12.1,2.089,0.172,8.8,2.618,0.296,7.2,0.734,0.103,7.493,34.3,12.8,2.591,0.202,HFD
52,220808_1,E4HN_M_Ctrl,D,Day1,4,MWM_150,8/15/22,38.8,6.163,0.159,0,0,,7.1,1.348,0.189,4.8,0.934,0.196,26.9,3.881,0.144,6.052,34.7,13.8,1.895,0.137,Control
53,220808_2,E4HN_M_Ctrl,D,Day1,4,MWM_150,8/15/22,60,9.192,0.153,15.1,2.745,0.182,20.4,3.151,0.154,24.5,3.297,0.135,0,0,,,,14.4,1.609,0.111,Control
54,220808_3,E4HN_M_Ctrl,D,Day1,4,MWM_150,8/15/22,60,6.371,0.106,8.8,1.074,0.123,0,0,,33.6,3.176,0.095,17.7,2.121,0.12,,,40,3.456,0.086,Control
55,220808_4,E4HN_M_Ctrl,D,Day1,4,MWM_150,8/15/22,36,4.51,0.125,0,0,,0,0,,16.8,1.752,0.105,19.2,2.758,0.143,4.428,31.9,16.5,1.975,0.12,Control
56,220808_5,E4HN_M_Ctrl,D,Day1,4,MWM_150,8/15/22,18.5,2.418,0.131,0,0,,0,0,,12.8,2.02,0.157,5.6,0.398,0.071,2.336,14.4,2.9,0.337,0.116,Control
57,220808_6,E2HN_F_18mth_Ctrl,A,Day1,4,MWM_150,8/15/22,60,10.334,0.172,15.1,2.816,0.186,19.5,3.187,0.163,17,2.823,0.166,8.3,1.508,0.181,,,41.7,6.361,0.152,Control
58,220808_7,E2HN_F_18mth_Ctrl,A,Day1,4,MWM_150,8/15/22,60,10.465,0.174,17.8,3.408,0.191,14.6,2.361,0.162,19.7,3.25,0.165,7.9,1.446,0.183,,,35.4,5.627,0.159,Control
