Test,Animal,Treatment,Code,Stage,Trial,Apparatus,Date,Duration,Distance,Mean speed,NE : time,NE : distance,NE : average speed,NW : time,NW : distance,NW : average speed,SE : time,SE : distance,SE : average speed,SW : time,SW : distance,SW : average speed,Island : distance to first entry,Island : latency to first entry,Thigmitaxis : time,Thigmitaxis : distance,Thigmitaxis : average speed,Diet,Sex,Age
449,210614_15,E3HN_F,A,Day4,3,MWM_150,6/24/21,11,1.659,0.15,1.3,0.281,0.214,0,0,,4.2,0.971,0.229,1.4,0.299,0.213,1.551,6.9,3.1,0.696,0.221,HFD,F,12
450,210614_16,E3HN_F,A,Day4,3,MWM_150,6/24/21,20.3,2.935,0.145,8.3,1.434,0.173,0,0,,6.1,1.138,0.188,1.8,0.323,0.18,2.896,16.2,0,0,,HFD,F,12
451,210614_31,E3HN_F,A,Day4,3,MWM_150,6/24/21,31.9,5.739,0.18,10.7,1.796,0.168,5.3,0.999,0.19,9.6,1.747,0.181,6,1.197,0.2,5.069,27.9,7.7,1.008,0.131,HFD,F,12
452,210614_17,E3HN_F,A,Day4,3,MWM_150,6/24/21,60,11.882,0.198,18.5,3.564,0.193,11.5,2.501,0.217,10.8,2.156,0.2,19.2,3.661,0.191,,,22,4.261,0.194,Control,F,12
453,210614_18,E3HN_F,A,Day4,3,MWM_150,6/24/21,19.3,1.279,0.066,12.1,0.697,0.058,1.6,0.291,0.186,0,0,,1.5,0.257,0.168,1.245,15.2,8.9,0.153,0.017,Control,F,12
454,210614_19,E3HN_F,A,Day4,3,MWM_150,6/24/21,17.9,2.455,0.137,5.5,0.705,0.129,0,0,,6.7,1.33,0.199,1.6,0.345,0.22,2.38,13.8,0,0,,Control,F,12
455,210614_20,E3HN_F,A,Day4,3,MWM_150,6/24/21,41.3,8.487,0.205,11.8,1.861,0.158,5.2,1.137,0.219,10.1,2.258,0.223,13.5,3.086,0.229,7.664,37.3,2.7,0.434,0.159,Control,F,12
456,210614_21,E3HN_M,C,Day4,3,MWM_150,6/24/21,16,2.455,0.153,2.4,0.303,0.125,1.3,0.168,0.126,1.7,0.428,0.25,6.6,0.988,0.15,1.886,12,0,0,,Control,F,12
457,210614_22,E3HN_M,C,Day4,3,MWM_150,6/24/21,9.7,1.169,0.121,4,0.604,0.151,0.4,0.16,0.37,0,0,,1.2,0.284,0.237,1.048,5.6,0,0,,Control,M,12
458,210614_23,E3HN_M,C,Day4,3,MWM_150,6/24/21,38,3.798,0.1,10.3,0.682,0.066,0.8,0.127,0.165,5.8,0.727,0.126,17.1,2.172,0.127,3.708,33.9,1.6,0.128,0.079,Control,M,12
