Test,Animal,Treatment,Code,Stage,Trial,Apparatus,Date,Duration,Distance,First zone entered,Mean speed,NE : time,NE : distance,NE : average speed,NW : time,NW : distance,NW : average speed,SE : time,SE : distance,SE : average speed,SW : time,SW : distance,SW : latency to first entry,SW : average speed,Island : distance to first entry,Island : latency to first entry,Thigmitaxis : time,Thigmitaxis : distance,Thigmitaxis : average speed,Diet
14,210201_14,E44_M,B,Day1,1,MWM_150,2/8/2021,47.5,10.762,SW,0.227,11.5,2.580,0.224,2.5,0.546,0.221,25.1,5.853,0.233,5.9,1.343,0.0,0.226,9.869,43.4,21.0,4.509,0.215,Control
15,210201_15,E44_M,B,Day1,1,MWM_150,2/8/2021,60.0,12.038,SW,0.201,8.4,1.730,0.207,5.1,1.033,0.201,19.4,3.631,0.188,26.5,5.466,0.0,0.206,,,37.0,7.222,0.195,Control
16,210201_16,E44_M,B,Day1,1,MWM_150,2/8/2021,60.0,11.610,SE,0.194,20.3,3.579,0.176,0.0,0.000,,24.5,5.139,0.209,4.5,0.605,50.6,0.135,,,33.6,5.783,0.172,Control
17,210201_17,E44_M,B,Day1,1,MWM_150,2/8/2021,60.0,10.171,SW,0.170,6.3,1.073,0.170,24.3,4.134,0.170,11.0,1.992,0.181,15.8,2.503,0.0,0.158,10.137,57.7,38.1,6.224,0.163,Control
18,210201_18,E44_M,B,Day1,1,MWM_150,2/8/2021,60.0,11.809,NE,0.197,6.5,1.272,0.196,19.2,3.579,0.186,14.5,3.028,0.209,18.4,3.584,10.5,0.195,,,40.9,7.835,0.191,Control
19,210201_19,E2HN_M,D,Day1,1,MWM_150,2/8/2021,60.0,8.958,NW,0.149,9.4,1.151,0.122,20.9,3.382,0.162,10.8,1.742,0.162,17.1,2.436,1.0,0.143,,,29.0,4.348,0.150,Control
20,210201_1,E33_F,A,Day1,2,MWM_150,2/8/2021,60.0,11.222,NE,0.187,19.2,3.460,0.180,18.5,2.966,0.161,8.8,1.996,0.226,10.3,2.116,29.4,0.206,,,42.5,7.520,0.177,Control
21,210201_2,E33_F,A,Day1,2,MWM_150,2/8/2021,42.7,8.496,SE,0.199,0.0,0.000,,17.7,3.570,0.202,1.4,0.242,0.169,23.6,4.684,1.1,0.198,8.461,38.7,24.6,5.002,0.203,Control
22,210201_3,E33_F,A,Day1,2,MWM_150,2/8/2021,43.0,8.977,NE,0.209,11.8,2.765,0.235,13.4,2.968,0.221,5.3,1.226,0.231,12.5,2.018,9.3,0.161,8.908,38.9,8.9,1.673,0.188,Control
23,210201_4,E33_F,A,Day1,2,MWM_150,2/8/2021,58.2,14.365,NE,0.247,10.0,2.467,0.246,19.8,5.117,0.259,7.1,2.080,0.293,21.3,4.701,6.4,0.221,13.786,54.2,31.0,7.421,0.240,Control
24,210201_5,E33_F,A,Day1,2,MWM_150,2/8/2021,26.2,4.805,NE,0.184,14.7,2.791,0.189,4.6,1.203,0.260,0.0,0.000,,6.8,0.811,19.4,0.119,4.657,22.1,8.2,1.391,0.169,Control
25,210201_6,E44_F,C,Day1,2,MWM_150,2/8/2021,60.0,11.387,NE,0.190,27.7,5.169,0.187,18.0,3.180,0.177,9.1,1.832,0.202,2.8,0.602,7.6,0.216,,,36.9,6.506,0.176,Control
26,210201_7,E44_F,C,Day1,2,MWM_150,2/8/2021,60.0,13.315,NE,0.222,19.2,3.974,0.207,16.1,3.399,0.211,10.5,2.572,0.244,12.5,2.903,17.0,0.232,,,30.9,7.059,0.229,Control
27,210201_8,E44_F,C,Day1,2,MWM_150,2/8/2021,60.0,12.719,NE,0.212,20.9,3.708,0.177,10.7,2.448,0.228,16.6,3.755,0.226,8.9,2.181,24.1,0.245,,,35.6,7.835,0.220,Control
28,210201_9,E44_F,C,Day1,2,MWM_150,2/8/2021,60.0,13.420,NE,0.224,15.1,3.333,0.221,19.5,4.301,0.220,8.6,2.067,0.240,13.0,2.759,5.6,0.212,,,43.7,9.681,0.221,Control
29,210201_10,E44_F,C,Day1,2,MWM_150,2/8/2021,60.0,12.848,NE,0.214,16.2,3.824,0.237,22.2,4.391,0.198,14.1,2.872,0.204,6.2,1.348,14.2,0.216,,,32.3,6.265,0.194,Control
30,210201_11,E44_M,B,Day1,2,MWM_150,2/8/2021,60.0,11.149,NE,0.186,40.6,6.696,0.165,8.1,1.687,0.209,6.4,1.537,0.241,4.5,1.126,32.1,0.248,,,27.5,5.800,0.211,Control
31,210201_12,E44_M,B,Day1,2,MWM_150,2/8/2021,60.0,10.288,SE,0.171,14.5,2.430,0.168,25.8,3.957,0.154,8.3,1.936,0.233,8.7,1.485,34.5,0.171,,,44.9,7.426,0.165,Control
32,210201_13,E44_M,B,Day1,2,MWM_150,2/8/2021,60.0,12.326,NE,0.205,26.8,5.383,0.201,0.5,0.084,0.180,24.3,5.234,0.216,2.9,0.601,8.6,0.205,,,32.9,6.407,0.195,Control
33,210201_14,E44_M,B,Day1,2,MWM_150,2/8/2021,60.0,14.802,NE,0.247,19.6,4.501,0.230,13.2,3.213,0.243,15.0,4.038,0.269,11.1,2.782,22.6,0.250,,,36.0,9.121,0.253,Control
34,210201_15,E44_M,B,Day1,2,MWM_150,2/8/2021,60.0,11.504,NE,0.192,15.6,2.614,0.167,22.8,4.314,0.189,12.4,2.874,0.231,5.0,0.886,32.5,0.179,,,31.6,5.949,0.188,Control
35,210201_16,E44_M,B,Day1,2,MWM_150,2/8/2021,60.0,10.624,SE,0.177,19.2,3.896,0.203,11.7,2.184,0.187,17.6,2.285,0.130,8.2,1.652,37.9,0.201,,,44.1,7.930,0.180,Control
36,210201_17,E44_M,B,Day1,2,MWM_150,2/8/2021,60.0,13.125,SE,0.219,24.8,5.146,0.208,15.7,3.447,0.220,10.7,2.852,0.266,6.8,1.290,42.8,0.188,,,40.3,8.867,0.220,Control
37,210201_18,E44_M,B,Day1,2,MWM_150,2/8/2021,60.0,11.488,NE,0.191,11.8,2.211,0.188,14.8,2.612,0.176,7.4,1.679,0.226,25.2,4.776,9.5,0.190,,,39.8,7.257,0.182,Control
38,210201_19,E2HN_M,D,Day1,2,MWM_150,2/8/2021,60.0,11.054,NE,0.184,35.1,5.906,0.168,12.7,2.379,0.188,6.4,1.407,0.221,4.6,1.057,38.4,0.228,,,44.9,8.202,0.183,Control
39,210201_1,E33_F,A,Day1,3,MWM_150,2/8/2021,60.0,12.871,NW,0.215,9.1,1.847,0.204,11.7,2.212,0.189,19.8,4.543,0.230,19.0,4.154,10.3,0.218,,,27.3,5.460,0.200,Control
40,210201_2,E33_F,A,Day1,3,MWM_150,2/8/2021,34.9,7.455,NE,0.214,10.1,2.504,0.248,18.2,4.334,0.238,0.0,0.000,,6.6,0.618,28.3,0.094,7.420,30.8,13.0,2.874,0.222,Control
41,210201_3,E33_F,A,Day1,3,MWM_150,2/8/2021,30.2,6.243,NW,0.206,4.8,1.193,0.249,13.9,3.098,0.222,2.6,0.713,0.274,8.9,1.239,11.4,0.139,6.176,26.1,3.1,0.690,0.223,Control
42,210201_4,E33_F,A,Day1,3,MWM_150,2/8/2021,13.4,3.543,NW,0.264,0.0,0.000,,4.3,1.093,0.253,0.0,0.000,,9.1,2.450,1.8,0.269,2.438,9.4,2.7,0.715,0.262,Control
43,210201_5,E33_F,A,Day1,3,MWM_150,2/8/2021,15.7,2.735,NW,0.174,0.0,0.000,,7.6,1.777,0.233,0.0,0.000,,8.1,0.959,4.2,0.118,2.627,11.7,2.7,0.616,0.225,Control
