Test,Animal,Treatment,Code,Stage,Trial,Apparatus,Date,Duration,Distance,Mean speed,NE : time,NE : distance,NE : average speed,NW : time,NW : distance,NW : average speed,SE : time,SE : distance,SE : average speed,SW : time,SW : distance,SW : average speed,Island : distance to first entry,Island : latency to first entry,Thigmitaxis : time,Thigmitaxis : distance,Thigmitaxis : average speed,Diet
164,200302_6,APOE22F,A,Day5,1,MWM_150,3/6/2020,5.7,0.462,0.081,0.0,0.000,,2.0,0.226,0.115,0.0,0.000,,3.8,0.236,0.063,0.428,3.6,0.0,0.000,,Control
165,200302_7,APOE22F,A,Day5,1,MWM_150,3/6/2020,7.9,1.105,0.140,0.0,0.000,,2.3,0.481,0.209,0.0,0.000,,5.6,0.624,0.111,1.002,5.9,1.3,0.239,0.189,Control
166,200302_8,APOE22F,A,Day5,1,MWM_150,3/6/2020,15.3,3.071,0.201,0.0,0.000,,10.7,2.513,0.236,0.0,0.000,,4.6,0.558,0.121,2.970,13.2,0.0,0.000,,Control
167,200302_9,APOE22F,A,Day5,1,MWM_150,3/6/2020,17.0,2.372,0.140,0.0,0.000,,8.0,1.080,0.135,0.0,0.000,,9.0,1.293,0.144,1.992,14.9,0.0,0.000,,Control
168,200302_10,APOE22M,B,Day5,1,MWM_150,3/6/2020,42.5,7.766,0.183,5.9,1.047,0.176,8.5,1.358,0.160,11.2,2.423,0.216,16.9,2.938,0.174,7.766,40.4,5.0,0.692,0.138,Control
169,200302_11,APOE22M,B,Day5,1,MWM_150,3/6/2020,3.7,0.316,0.085,0.0,0.000,,0.0,0.000,,0.0,0.000,,3.7,0.316,0.085,0.203,1.6,0.0,0.000,,Control
170,200302_12,APOE22M,B,Day5,1,MWM_150,3/6/2020,9.3,0.514,0.055,0.0,0.000,,0.0,0.000,,0.0,0.000,,9.3,0.514,0.055,0.404,7.2,0.0,0.000,,Control
171,200302_3,APOE22M,B,Day5,2,MWM_150,3/6/2020,42.5,7.576,0.178,5.3,1.051,0.198,5.3,1.136,0.213,15.9,2.710,0.170,15.9,2.679,0.168,7.542,40.4,7.7,1.075,0.139,Control
172,200302_4,APOE22M,B,Day5,2,MWM_150,3/6/2020,14.4,2.046,0.142,1.9,0.482,0.254,2.8,0.601,0.215,6.8,0.513,0.075,2.9,0.450,0.158,1.773,12.3,0.0,0.000,,Control
173,200302_5,APOE22M,B,Day5,2,MWM_150,3/6/2020,4.9,0.914,0.188,0.0,0.000,,0.0,0.000,,1.7,0.299,0.179,3.2,0.614,0.193,0.657,2.8,0.0,0.000,,Control
174,200302_6,APOE22F,A,Day5,2,MWM_150,3/6/2020,17.4,1.713,0.098,0.0,0.000,,0.0,0.000,,8.8,0.869,0.099,8.7,0.844,0.098,1.713,15.3,0.0,0.000,,Control
175,200302_7,APOE22F,A,Day5,2,MWM_150,3/6/2020,31.6,5.045,0.160,1.4,0.340,0.238,9.7,1.687,0.174,3.6,0.627,0.174,16.9,2.390,0.142,4.959,29.5,0.0,0.000,,Control
176,200302_8,APOE22F,A,Day5,2,MWM_150,3/6/2020,10.1,1.938,0.192,0.0,0.000,,0.0,0.000,,2.9,0.617,0.215,7.2,1.321,0.183,1.871,8.0,0.0,0.000,,Control
177,200302_9,APOE22F,A,Day5,2,MWM_150,3/6/2020,10.5,1.420,0.135,0.6,0.076,0.127,0.2,0.000,0.000,6.0,0.921,0.153,3.6,0.423,0.116,1.350,8.5,0.0,0.000,,Control
178,200302_10,APOE22M,B,Day5,2,MWM_150,3/6/2020,14.3,1.391,0.097,0.8,0.119,0.149,0.0,0.000,,9.6,0.629,0.066,4.0,0.643,0.162,1.256,12.3,0.0,0.000,,Control
