Test,Animal,Treatment,Code,Stage,Trial,Apparatus,Date,Duration,Distance,Mean speed,NE : time,NE : distance,NE : average speed,NW : time,NW : distance,NW : average speed,SE : time,SE : distance,SE : average speed,SW : time,SW : distance,SW : average speed,Island : distance to first entry,Island : latency to first entry,Thigmitaxis : time,Thigmitaxis : distance,Thigmitaxis : average speed,Diet
123,190909_3,APOE33_F,A,Probe_D5,1,MWM_150,9/13/2019,60.0,11.456,0.191,8.9,1.722,0.193,11.0,2.131,0.194,18.1,3.263,0.180,22.0,4.340,0.198,,,3.8,0.616,0.162,Control
124,190909_4,APOE33_F,A,Probe_D5,1,MWM_150,9/13/2019,60.0,13.552,0.226,11.8,2.760,0.234,5.7,1.413,0.246,21.5,4.782,0.222,21.0,4.598,0.219,0.468,2.2,6.9,1.593,0.230,Control
125,190909_8,APOE33_M,C,Probe_D5,1,MWM_150,9/13/2019,60.0,12.737,0.212,14.5,3.248,0.223,9.9,1.957,0.197,17.8,3.894,0.219,17.3,3.552,0.205,4.048,19.1,4.8,1.006,0.211,Control
126,190909_9,APOE33_F,A,Probe_D5,1,MWM_150,9/13/2019,60.0,8.842,0.147,5.8,0.864,0.150,7.9,1.179,0.149,31.6,4.134,0.131,14.7,2.665,0.181,4.630,35.3,7.5,0.819,0.110,Control
127,190909_1,HN_M,B,Probe_D8,1,MWM_150,9/16/2019,60.0,11.878,0.198,21.9,4.038,0.184,12.9,2.718,0.211,10.6,2.159,0.204,12.8,2.778,0.218,1.309,5.8,24.1,4.097,0.170,Control
128,190909_2,APOE33_M,C,Probe_D8,1,MWM_150,9/16/2019,60.0,14.411,0.240,15.8,3.693,0.234,14.2,3.684,0.259,14.8,3.405,0.231,15.2,3.630,0.238,5.734,24.6,9.9,2.089,0.211,Control
129,190909_3,APOE33_F,A,Probe_D8,1,MWM_150,9/16/2019,60.0,11.095,0.185,16.8,2.463,0.146,6.2,1.321,0.213,16.9,3.246,0.192,19.9,4.031,0.203,6.037,34.1,9.9,1.526,0.154,Control
130,190909_4,APOE33_F,A,Probe_D8,1,MWM_150,9/16/2019,60.0,14.516,0.242,13.0,3.092,0.237,8.5,2.137,0.250,20.2,4.860,0.241,16.2,3.869,0.238,6.166,26.7,10.7,2.585,0.241,Control
131,190909_8,APOE33_M,C,Probe_D8,1,MWM_150,9/16/2019,60.0,14.308,0.238,21.0,4.818,0.229,7.4,1.848,0.249,23.2,5.677,0.245,8.4,1.966,0.235,11.710,49.8,8.4,1.592,0.190,Control
132,190909_9,APOE33_F,A,Probe_D8,1,MWM_150,9/16/2019,60.0,10.756,0.179,34.5,5.882,0.170,8.9,1.518,0.170,11.2,2.179,0.195,5.3,1.178,0.221,,,3.9,0.709,0.183,Control
