Test,Animal,Treatment,Code,Stage,Trial,Apparatus,Date,Duration,Distance,Mean speed,NE : time,NE : distance,NE : average speed,NW : time,NW : distance,NW : average speed,SE : time,SE : distance,SE : average speed,SW : time,SW : distance,SW : average speed,Island : distance to first entry,Island : latency to first entry,Thigmitaxis : time,Thigmitaxis : distance,Thigmitaxis : average speed,Diet,Sex,Age,Genotype
367,221101-7,E44_F_6mo_Control,H,Day4,4,MWM_150,11/10/22,15.5,2.617,0.168,1.5,0.405,0.264,0.8,0.243,0.317,2.2,0.59,0.273,11.1,1.379,0.124,2.578,11.5,0,0,,Control,Female,6,E44
368,221101-8,E44_F_6mo_Control,H,Day4,4,MWM_150,11/10/22,25,3.008,0.12,0,0,,2.4,0.377,0.159,0,0,,22.6,2.632,0.116,2.97,20.9,3.9,0.446,0.114,Control,Female,6,E44
369,221101-9,E44_F_6mo_Control,H,Day4,4,MWM_150,11/10/22,4.7,0.23,0.049,0,0,,0,0,,0,0,,4.7,0.23,0.049,0.107,0.7,0,0,,Control,Female,6,E44
370,221101-10,E44_M_6mo_Control,G,Day4,4,MWM_150,11/10/22,17.2,2.12,0.123,0,0,,0,0,,9.1,1.427,0.157,8.1,0.693,0.085,2.12,13.1,5.4,0.547,0.101,Control,Male,6,E44
371,221101-11,E44_M_6mo_Control,G,Day4,4,MWM_150,11/10/22,26.1,3.892,0.149,0,0,,6.9,1.24,0.18,4.5,0.843,0.186,14.7,1.809,0.123,3.805,22,0,0,,Control,Male,6,E44
372,221101-12,E44_M_6mo_Control,G,Day4,4,MWM_150,11/10/22,11.7,1.527,0.131,0,0,,0,0,,4.3,0.7,0.164,7.4,0.827,0.112,1.4,7.6,2.2,0.245,0.112,Control,Male,6,E44
373,221101-13,E2HN_F_6mo_Control,I,Day4,4,MWM_150,11/10/22,44.1,8.242,0.187,1.1,0.181,0.165,5.4,1.159,0.216,20,4.025,0.201,17.7,2.877,0.163,8.164,40.1,1.4,0.282,0.206,Control,Female,6,E2HN
374,221101-14,E2HN_F_6mo_Control,I,Day4,4,MWM_150,11/10/22,4.9,0.204,0.041,0,0,,0,0,,0,0,,4.9,0.204,0.041,0.047,0.9,0,0,,Control,Female,6,E2HN
375,221101-15,E2HN_M_6mo_Control,A,Day4,4,MWM_150,11/10/22,19.2,2.541,0.132,0,0,,0,0,,6.1,0.979,0.161,13.1,1.562,0.119,2.455,15.1,0.9,0.081,0.087,Control,Male,6,E2HN
376,221101-16,E2HN_M_6mo_Control,A,Day4,4,MWM_150,11/10/22,29.7,5.743,0.193,0,0,,5,1.126,0.225,7,1.348,0.193,17.7,3.269,0.184,5.614,25.7,0.5,0,0,Control,Male,6,E2HN
377,221101-17,E2HN_M_6mo_Control,A,Day4,4,MWM_150,11/10/22,4.5,0.384,0.086,0,0,,0,0,,0,0,,4.5,0.384,0.086,0.055,0.4,0,0,,Control,Male,6,E2HN
378,221101-18,E2HN_M_6mo_Control,A,Day4,4,MWM_150,11/10/22,18.1,2.001,0.111,0,0,,2.3,0.234,0.102,1.9,0.326,0.169,13.8,1.441,0.104,1.917,14,0,0,,Control,Male,6,E2HN
379,221101-19,E2HN_M_6mo_Control,A,Day4,4,MWM_150,11/10/22,4.9,0.147,0.03,0,0,,0,0,,0,0,,4.9,0.147,0.03,0.104,0.8,0,0,,Control,Male,6,E2HN
380,221101-20,E4HN_F_6mo_Control,F,Day4,4,MWM_150,11/10/22,14.1,1.791,0.127,0,0,,0,0,,0,0,,14.1,1.791,0.127,1.714,10.1,0.8,0.139,0.182,Control,Female,6,E4HN
381,221101-21,E4HN_F_6mo_Control,F,Day4,4,MWM_150,11/10/22,18.8,1.743,0.093,0.5,0.047,0.093,0,0,,3.9,0.513,0.133,14.4,1.184,0.082,1.661,14.8,0,0,,Control,Female,6,E4HN
382,221101-22,E4HN_F_6mo_Control,F,Day4,4,MWM_150,11/10/22,60,8.954,0.149,0,0,,20.3,3.002,0.148,5.1,1.021,0.199,34.6,4.931,0.143,,,11.1,1.016,0.091,Control,Female,6,E4HN
383,221101-23,E4HN_F_6mo_Control,F,Day4,4,MWM_150,11/10/22,6.9,0.403,0.058,0,0,,0,0,,0,0,,6.9,0.403,0.058,0.284,2.9,0,0,,Control,Female,6,E4HN
384,221101-24,E4HN_F_6mo_Control,F,Day4,4,MWM_150,11/10/22,29.7,4.061,0.137,0,0,,11.1,1.634,0.147,1,0.139,0.134,17.5,2.289,0.131,3.942,25.6,0,0,,Control,Female,6,E4HN
385,221101-1,E44_M_12mo_HFD,C,Day5,1,MWM_150,11/11/22,13.4,1.847,0.138,0.2,0.047,0.233,3.5,0.665,0.188,1,0.155,0.15,8.6,0.98,0.113,1.755,9.4,0,0,,HFD,Male,12,E44
386,221101-2,E44_M_12mo_HFD,C,Day5,1,MWM_150,11/11/22,25.9,3.976,0.153,1,0.144,0.144,0,0,,6,1.264,0.212,19,2.568,0.135,3.976,21.9,3.9,0.607,0.157,HFD,Male,12,E44
387,221101-3,E4HN_M_18mo_HFD,D,Day5,1,MWM_150,11/11/22,5.1,0.125,0.024,0,0,,0,0,,0,0,,5.1,0.125,0.024,0.083,1.1,0,0,,HFD,Male,18,E4HN
388,221101-4,E4HN_F_18mo_HFD,B,Day5,1,MWM_150,11/11/22,12.3,0.448,0.036,0,0,,0.9,0.088,0.101,0,0,,11.5,0.361,0.031,0.448,8.3,0,0,,HFD,Female,18,E4HN
389,221101-5,E4HN_M_6mo_Control,E,Day5,1,MWM_150,11/11/22,60,11.196,0.187,10.1,2.291,0.228,6.9,1.799,0.261,7.2,1.882,0.26,35.8,5.224,0.146,,,22.3,4.072,0.182,Control,Male,6,E4HN
