Test,Animal,Treatment,Code,Stage,Trial,Apparatus,Date,Duration,Distance,First zone entered,Mean speed,NE : time,NE : distance,NE : average speed,NW : time,NW : distance,NW : average speed,SE : time,SE : distance,SE : average speed,SW : time,SW : distance,SW : latency to first entry,SW : average speed,Island : distance to first entry,Island : latency to first entry,Thigmitaxis : time,Thigmitaxis : distance,Thigmitaxis : average speed,Diet
555,201012_9,E4HN_F,F,Probe_D8,1,MWM_150,1/25/21,60,10.299,NE,0.172,16.4,2.685,0.163,6.6,1.384,0.209,12.7,2.577,0.203,24.3,3.653,7.2,0.151,,,11.1,1.628,0.147,HFD
556,201012_10,E4HN_F,F,Probe_D8,1,MWM_150,1/25/21,60,10.886,SE,0.181,7.2,1.133,0.157,10.3,1.884,0.183,14.5,2.938,0.202,27.9,4.931,0.8,0.177,0.923,6.1,18,3.092,0.171,HFD
557,201012_11,E3HN_F,A,Probe_D8,1,MWM_150,1/25/21,60,8.744,NE,0.146,9.1,0.683,0.075,1.3,0.049,0.037,9.9,1.623,0.163,39.6,6.39,14,0.161,1.703,16.8,6,0.909,0.151,HFD
558,201012_12,E3HN_F,A,Probe_D8,1,MWM_150,1/25/21,60,8.636,NE,0.144,6.2,0.797,0.128,11.3,1.388,0.122,0.6,0.07,0.124,41.9,6.381,6.9,0.152,1.744,12.6,14.1,1.471,0.104,HFD
559,201012_13,E3HN_M,C,Probe_D8,1,MWM_150,1/25/21,60,10.139,NE,0.169,2.5,0.393,0.157,14.2,2.476,0.174,2.4,0.434,0.183,40.9,6.836,3.3,0.167,1.699,10.5,2.1,0.351,0.165,HFD
560,201012_15,E33_F,B,Probe_D8,1,MWM_150,1/25/21,60,8.475,NW,0.141,0,0,,7.2,0.906,0.126,7.5,1.15,0.153,45.3,6.42,0.9,0.142,1.595,10.3,1,0.081,0.083,HFD
561,201012_16,E33_F,B,Probe_D8,1,MWM_150,1/25/21,60,10.87,NE,0.181,5,0.907,0.18,6.8,1.29,0.189,7.5,1.637,0.219,40.6,7.035,1.4,0.173,1.691,8,5.6,0.565,0.1,HFD
562,201012_17,E33_F,B,Probe_D8,1,MWM_150,1/25/21,60,12.234,SW,0.204,6.6,1.367,0.207,6.4,1.26,0.198,7.8,1.674,0.216,39.3,7.932,0,0.202,1,4.9,7.4,1.279,0.173,HFD
563,201012_18,E33_F,B,Probe_D8,1,MWM_150,1/25/21,60,11.747,NE,0.196,9.1,1.907,0.209,5.9,1.127,0.191,23.6,4.343,0.184,21.4,4.37,9.7,0.204,7.104,34.9,9.2,1.095,0.119,HFD
564,201012_19,E33_F,B,Probe_D8,1,MWM_150,1/25/21,60,11.756,NW,0.196,3.4,0.711,0.209,3.2,0.651,0.203,17.5,3.688,0.211,35.9,6.706,2.6,0.187,0.807,3.6,0,0,,HFD
565,201012_20,E33_F,B,Probe_D8,1,MWM_150,1/25/21,60,11.178,NE,0.186,5.5,1.111,0.202,17.4,3.117,0.179,12.3,2.282,0.185,24.8,4.669,3,0.188,1.661,7.7,16,1.586,0.099,HFD
566,201012_21,E33_F,B,Probe_D8,1,MWM_150,1/25/21,60,11.473,NE,0.191,4.1,0.996,0.243,9.4,1.861,0.197,7.3,1.4,0.192,39.2,7.215,5.3,0.184,1.722,6.6,10.8,1.531,0.142,HFD
567,201012_22,E33_M,E,Probe_D8,1,MWM_150,1/25/21,60,11.149,NE,0.186,11.6,2.43,0.209,6.5,1.304,0.2,11.9,2.41,0.202,30,5.005,11.2,0.167,2.828,12.5,3.3,0.259,0.079,HFD
568,201012_23,E33_M,E,Probe_D8,1,MWM_150,1/25/21,60,8.465,NE,0.141,4,0.724,0.182,0.7,0.173,0.248,12.6,1.818,0.144,42.7,5.75,4.7,0.135,5.785,38.3,23.5,2.641,0.112,HFD
569,201012_24,E33_M,E,Probe_D8,1,MWM_150,1/25/21,60,9.887,NW,0.165,7.9,1.271,0.162,5,0.71,0.141,12.6,2.471,0.197,34.5,5.435,2,0.157,0.491,3.5,2.8,0.47,0.168,HFD
570,201012_25,E33_M,E,Probe_D8,1,MWM_150,1/25/21,60,7.422,NE,0.124,13.5,1.666,0.124,3.8,0.393,0.103,10,1.512,0.151,32.7,3.852,12.4,0.118,2.503,18,0,0,,HFD
571,201012_26,E33_M,E,Probe_D8,1,MWM_150,1/25/21,60,9.83,SW,0.164,0,0,,9.4,1.494,0.158,7.3,1.423,0.194,43.2,6.913,0,0.16,0.691,5.3,16.3,2.177,0.134,HFD
572,201012_27,E33_M,E,Probe_D8,1,MWM_150,1/25/21,60,10.051,NE,0.168,16.7,2.47,0.148,12.8,2.336,0.183,7.5,1.484,0.197,23,3.762,5.2,0.163,1.319,6.8,3.7,0.177,0.047,HFD
