Test,Animal,Treatment,Code,Stage,Trial,Apparatus,Date,Duration,Distance,Mean speed,NE : time,NE : distance,NE : average speed,NW : time,NW : distance,NW : average speed,SE : time,SE : distance,SE : average speed,SW : time,SW : distance,SW : average speed,Island : distance to first entry,Island : latency to first entry,Thigmitaxis : time,Thigmitaxis : distance,Thigmitaxis : average speed,Diet
314,200331_20,APOE44M,D,Day4,3,MWM_150,4/3/2020,15.9,2.092,0.132,2.7,0.336,0.126,0.0,0.000,,6.9,1.071,0.154,6.3,0.685,0.109,2.049,13.8,1.2,0.127,0.106,Control
315,200331_21,APOE44F,B,Day4,3,MWM_150,4/3/2020,60.0,11.404,0.190,11.3,2.346,0.208,18.2,3.454,0.190,15.9,3.058,0.192,14.6,2.547,0.174,,,17.9,3.158,0.176,Control
316,200331_1,APOE22F,A,Day4,4,MWM_150,4/3/2020,7.9,1.022,0.130,0.0,0.000,,0.0,0.000,,1.3,0.149,0.118,6.6,0.873,0.132,0.953,5.8,0.0,0.000,,Control
317,200331_2,APOE22F,A,Day4,4,MWM_150,4/3/2020,2.4,0.069,0.029,0.0,0.000,,0.0,0.000,,0.0,0.000,,2.4,0.069,0.029,0.000,0.0,0.0,0.000,,Control
318,200331_3,APOE22F,A,Day4,4,MWM_150,4/3/2020,5.9,0.656,0.111,0.0,0.000,,0.0,0.000,,1.9,0.208,0.108,4.0,0.448,0.112,0.580,3.9,0.0,0.000,,Control
319,200331_4,APOE22F,A,Day4,4,MWM_150,4/3/2020,15.9,1.790,0.113,0.0,0.000,,0.0,0.000,,0.6,0.069,0.115,15.3,1.721,0.113,1.714,13.7,1.1,0.108,0.098,Control
320,200331_5,APOE22F,A,Day4,4,MWM_150,4/3/2020,36.6,4.885,0.134,2.9,0.714,0.246,6.9,1.100,0.159,3.8,0.712,0.186,22.9,2.359,0.103,4.885,34.5,4.0,0.368,0.092,Control
321,200331_6,APOE22F,A,Day4,4,MWM_150,4/3/2020,2.4,0.000,0.000,0.0,0.000,,0.0,0.000,,0.0,0.000,,2.4,0.000,0.000,0.000,0.0,0.0,0.000,,Control
322,200331_7,APOE22F,A,Day4,4,MWM_150,4/3/2020,8.7,1.065,0.122,0.0,0.000,,0.0,0.000,,0.0,0.000,,8.7,1.065,0.122,0.957,6.6,4.1,0.522,0.128,Control
323,200331_8,APOE22F,A,Day4,4,MWM_150,4/3/2020,32.6,5.045,0.155,0.6,0.109,0.193,3.0,0.478,0.161,6.2,1.319,0.214,22.9,3.138,0.137,5.045,30.6,4.9,0.581,0.118,Control
324,200331_9,APOE22F,A,Day4,4,MWM_150,4/3/2020,2.7,0.072,0.026,0.0,0.000,,0.0,0.000,,0.0,0.000,,2.7,0.072,0.026,0.038,0.6,0.0,0.000,,Control
325,200331_10,APOE22F,A,Day4,4,MWM_150,4/3/2020,45.4,7.429,0.164,7.0,1.464,0.209,8.6,1.621,0.188,11.0,1.979,0.180,18.8,2.365,0.126,7.350,43.4,6.9,0.982,0.142,Control
326,200331_11,APOE22M,C,Day4,4,MWM_150,4/3/2020,27.1,4.127,0.152,1.7,0.198,0.119,0.0,0.000,,18.7,3.036,0.162,6.7,0.893,0.133,4.051,25.1,5.9,0.769,0.131,Control
