Test,Animal,Treatment,Code,Stage,Trial,Apparatus,Date,Duration,Distance,Mean speed,NE : time,NE : distance,NE : average speed,NW : time,NW : distance,NW : average speed,SE : time,SE : distance,SE : average speed,SW : time,SW : distance,SW : average speed,Island : distance to first entry,Island : latency to first entry,Thigmitaxis : time,Thigmitaxis : distance,Thigmitaxis : average speed,Diet,Sex,Age
208,210906_16,E44,A,Day3,1,MWM_150,9/15/2021,11.2,1.325,0.118,1.2,0.24,0.2,4.2,0.698,0.166,0.4,0.105,0.285,5.5,0.282,0.052,1.288,7.2,0,0,,HFD,F,12
209,210906_17,E44,A,Day3,1,MWM_150,9/15/2021,45,7.695,0.171,4.5,0.859,0.189,9.5,2.025,0.214,13.4,2.445,0.182,17.5,2.366,0.135,7.662,40.9,4.5,0.637,0.142,HFD,F,12
210,210906_18,E44,A,Day3,1,MWM_150,9/15/2021,11.4,1.504,0.132,0,0,,1.6,0.304,0.185,2.1,0.395,0.188,7.7,0.806,0.105,1.466,7.4,0,0,,HFD,F,12
211,210906_19,E44,A,Day3,1,MWM_150,9/15/2021,60,11.288,0.188,11.4,2.097,0.183,11.8,2.337,0.198,20.2,3.981,0.197,16.6,2.874,0.173,11.251,57.3,9.5,1.476,0.156,HFD,F,12
212,210906_20,E44,A,Day3,1,MWM_150,9/15/2021,60,12.063,0.201,6.9,1.655,0.239,14.7,3.122,0.212,13.9,2.722,0.195,24.4,4.564,0.187,,,18,2.594,0.144,HFD,F,12
213,210906_21,E44,A,Day3,1,MWM_150,9/15/2021,60,11.092,0.185,12.1,2.524,0.208,13.7,1.862,0.136,17.1,3.288,0.193,17.1,3.418,0.2,,,28.8,4.302,0.149,HFD,F,12
214,210906_22,E44,A,Day3,1,MWM_150,9/15/2021,43.7,7.73,0.177,8,1.6,0.2,15.2,2.669,0.175,7.3,1.659,0.228,13.2,1.802,0.136,7.645,39.7,3.5,0.463,0.134,HFD,F,12
215,210906_23,E44,A,Day3,1,MWM_150,9/15/2021,23.4,3.854,0.165,0.5,0.081,0.173,7.5,1.456,0.195,3,0.417,0.139,12.4,1.901,0.153,3.821,19.3,0.6,0.038,0.063,Control,F,12
216,210906_24,E44,A,Day3,1,MWM_150,9/15/2021,8.5,0.746,0.088,0,0,,2.9,0.443,0.154,0,0,,5.6,0.303,0.054,0.675,4.4,0,0,,Control,F,12
217,210906_1,E2HN_F,B,Day3,2,MWM_150,9/15/2021,44.1,6.66,0.151,9.4,1.788,0.191,7.1,1,0.142,12,2.07,0.173,15.7,1.802,0.115,6.594,40.1,5.2,0.972,0.187,Control,F,12
218,210906_2,E2HN_F,B,Day3,2,MWM_150,9/15/2021,25.9,3.584,0.138,7.5,1.03,0.137,2,0.354,0.174,5.1,0.907,0.177,11.2,1.292,0.115,3.551,21.9,6.7,1.119,0.168,Control,F,12
219,210906_3,E2HN_F,B,Day3,2,MWM_150,9/15/2021,27.6,3.459,0.125,11.1,1.926,0.174,1.3,0.195,0.154,7.9,0.931,0.118,7.4,0.407,0.055,3.459,23.5,0.4,0.038,0.103,Control,F,12
220,210906_4,E2HN_F,B,Day3,2,MWM_150,9/15/2021,25,4.249,0.17,4.8,0.923,0.192,3.4,0.654,0.192,6.4,1.466,0.23,10.5,1.206,0.115,4.249,21,1.5,0.247,0.169,Control,F,12
221,210906_5,E2HN_F,B,Day3,2,MWM_150,9/15/2021,9.9,1.103,0.111,3.3,0.516,0.158,1,0.226,0.226,0.6,0.035,0.055,5,0.326,0.065,0.998,5.9,0,0,,Control,F,12
222,210906_6,E2HN_M,C,Day3,2,MWM_150,9/15/2021,60,11.255,0.188,16.8,2.807,0.167,6.1,1.264,0.208,18.4,3.553,0.193,18.8,3.631,0.193,,,27,4.226,0.157,Control,M,12
223,210906_7,E2HN_F,B,Day3,2,MWM_150,9/15/2021,47.4,10.139,0.214,20.7,4.746,0.229,12.4,2.887,0.233,6.2,1.536,0.246,8.1,0.97,0.12,10.106,43.4,7,1.103,0.158,Control,F,12
224,210906_8,E2HN_F,B,Day3,2,MWM_150,9/15/2021,21.3,4.285,0.201,5.9,1.045,0.177,2.1,0.619,0.29,3,0.875,0.292,10.3,1.746,0.17,4.217,17.3,0.6,0.128,0.225,Control,F,12
