Test,Animal,Treatment,Code,Stage,Trial,Apparatus,Date,Duration,Distance,Mean speed,NE : time,NE : distance,NE : average speed,NW : time,NW : distance,NW : average speed,SE : time,SE : distance,SE : average speed,SW : time,SW : distance,SW : average speed,Island : distance to first entry,Island : latency to first entry,Thigmitaxis : time,Thigmitaxis : distance,Thigmitaxis : average speed,Diet,Sex,Age
445,220207_4,E3HN_M_18 month HFD,D,Probe_D8,1,MWM_150,2/28/2022,60,10.537,0.176,22.1,3.611,0.164,9.7,1.539,0.159,16,3.08,0.192,12.2,2.306,0.189,9.581,55.2,3.3,0.454,0.138,HFD,M,18
446,220207_9,E3HN_F_18 month Control,B,Probe_D8,1,MWM_150,2/28/2022,60,12.622,0.21,2,0.397,0.2,4.5,0.751,0.168,13,2.845,0.219,40.5,8.629,0.213,0.81,3.3,4.7,0.697,0.149,Control,F,18
447,220207_10,E3HN_F_18 month Control,B,Probe_D8,1,MWM_150,2/28/2022,60,12.701,0.212,12.7,2.747,0.216,4.2,0.907,0.218,18,4.183,0.233,25.1,4.865,0.194,1.196,4.9,10.5,2.173,0.207,Control,F,18
448,220207_11,E3HN_F_18 month Control,B,Probe_D8,1,MWM_150,2/28/2022,60,11.904,0.198,8.8,1.758,0.199,13.2,2.74,0.208,12.5,2.591,0.208,25.5,4.815,0.189,0.989,5.6,20.7,4.145,0.2,Control,F,18
449,220207_12,E3HN_F_18 month Control,B,Probe_D8,1,MWM_150,2/28/2022,60,11.771,0.196,14.1,2.786,0.198,10.8,2.213,0.205,12.4,2.638,0.213,22.7,4.135,0.182,7.171,36.1,7.3,1.1,0.151,Control,F,18
450,220207_13,E3HN_F_18 month Control,B,Probe_D8,1,MWM_150,2/28/2022,60,9.32,0.155,13.6,1.966,0.144,4.5,0.811,0.18,13.6,2.613,0.192,28.3,3.931,0.139,,,1.8,0.333,0.182,Control,F,18
451,220207_14,E3HN_F_18 month HFD,A,Probe_D8,1,MWM_150,2/28/2022,60,9.938,0.166,15.4,2.472,0.16,10.7,1.896,0.178,17.4,3.027,0.174,16.5,2.543,0.154,1.383,10.3,18.6,3.36,0.18,HFD,F,18
452,220207_15,E3HN_F_18 month HFD,A,Probe_D8,1,MWM_150,2/28/2022,60,10.694,0.178,19.5,3.649,0.187,9.7,1.839,0.19,20.5,3.232,0.158,10.3,1.974,0.192,,,26.6,4.501,0.169,HFD,F,18
453,220207_16,E3HN_F_18 month HFD,A,Probe_D8,1,MWM_150,2/28/2022,60,7.299,0.122,9.6,0.882,0.091,7.2,0.999,0.139,12.9,1.627,0.126,30.2,3.792,0.125,1.468,15.6,0,0,,HFD,F,18
454,220207_17,E3HN_F_18 month HFD,A,Probe_D8,1,MWM_150,2/28/2022,60,10.827,0.18,10.3,1.769,0.172,7.9,1.584,0.201,22.8,4.208,0.185,19.1,3.266,0.171,2.144,16.5,14.1,2.732,0.194,HFD,F,18
455,220207_18,E3HN_F_18 month HFD,A,Probe_D8,1,MWM_150,2/28/2022,60,9.798,0.163,5.9,0.979,0.166,6,0.965,0.161,24.7,3.864,0.156,23.4,3.991,0.171,5.561,34.5,2.5,0.205,0.082,HFD,F,18
456,220207_19,E3HN_M_18 month Control,C,Probe_D8,1,MWM_150,2/28/2022,60,13.908,0.232,18,4.33,0.241,8.8,1.821,0.207,15.5,3.89,0.25,17.7,3.867,0.219,1.812,6.4,14.2,2.111,0.149,Control,M,18
