Test,Animal,Treatment,Code,Stage,Trial,Apparatus,Date,Duration,Distance,Mean speed,NE : time,NE : distance,NE : average speed,NW : time,NW : distance,NW : average speed,SE : time,SE : distance,SE : average speed,SW : time,SW : distance,SW : average speed,Island : distance to first entry,Island : latency to first entry,Thigmitaxis : time,Thigmitaxis : distance,Thigmitaxis : average speed,Diet
404,210112_28,E44_F,B,Day4,3,MWM_150,4/22/21,39.4,5.501,0.14,4.9,0.817,0.167,8.2,1.467,0.179,3.4,0.655,0.195,10.3,1.279,0.124,5.43,35.3,12.6,1.284,0.102,HFD
405,210112_29,E44_F,B,Day4,3,MWM_150,4/22/21,32.7,6.333,0.194,4.6,0.74,0.159,1.4,0.327,0.234,8.5,1.604,0.188,13,2.931,0.225,5.465,28.6,5.1,0.731,0.144,HFD
406,210112_1,E4HN_F,D,Day4,4,MWM_150,4/22/21,12.3,1.124,0.092,0,0,,1.7,0.253,0.149,0,0,,10.6,0.871,0.082,1.011,8.2,0,0,,HFD
407,210112_2,E4HN_F,D,Day4,4,MWM_150,4/22/21,14.5,1.166,0.081,0,0,,7.3,0.816,0.112,0,0,,7.2,0.35,0.049,1.132,10.4,0,0,,HFD
408,210112_4,E4HN_F,D,Day4,4,MWM_150,4/22/21,5.3,1.125,0.212,0,0,,0,0,,0,0,,4.7,1.074,0.228,0.15,1.2,0.6,0.052,0.086,HFD
409,210112_5,E4HN_M,F,Day4,4,MWM_150,4/22/21,14.9,1.24,0.083,0,0,,0,0,,1.2,0.269,0.219,13.6,0.971,0.071,1.196,10.8,0,0,,Control
410,210112_6,E4HN_M,F,Day4,4,MWM_150,4/22/21,22.1,2.97,0.134,0,0,,0.8,0.123,0.154,4.5,0.72,0.16,16.8,2.127,0.126,2.937,18.1,0,0,,Control
411,210112_7,E4HN_M,F,Day4,4,MWM_150,4/22/21,17.1,1.468,0.086,0,0,,0,0,,1.6,0.306,0.195,14.1,1.051,0.075,1.468,13,1.4,0.111,0.078,Control
412,210112_8,E4HN_M,F,Day4,4,MWM_150,4/22/21,46.7,6.823,0.146,3.5,0.851,0.245,7.4,1.669,0.225,14.9,1.719,0.116,21,2.584,0.123,6.756,42.7,0,0,,Control
413,210112_9,E4HN_M,F,Day4,4,MWM_150,4/22/21,7.1,0.526,0.074,0,0,,0,0,,0,0,,7.1,0.526,0.074,0.43,3.1,0,0,,HFD
414,210112_10,E4HN_M,F,Day4,4,MWM_150,4/22/21,13.7,1.393,0.101,0,0,,0,0,,1.5,0.121,0.079,12.2,1.272,0.104,1.354,9.7,0,0,,HFD
415,210112_11,E4HN_M,F,Day4,4,MWM_150,4/22/21,4.5,0.708,0.159,0,0,,0,0,,0,0.076,2.25,3.6,0.555,0.152,0,0,0.8,0.076,0.099,HFD
416,210112_12,E4HN_M,F,Day4,4,MWM_150,4/22/21,6.2,0.723,0.118,0,0,,0,0,,0,0,,6.2,0.723,0.118,0.165,2.1,0,0,,HFD
417,210112_13,E4HN_F,D,Day4,4,MWM_150,4/22/21,5.4,0.309,0.057,0,0,,0,0,,0,0,,5.4,0.309,0.057,0.274,1.4,0,0,,Control
418,210112_14,E4HN_F,D,Day4,4,MWM_150,4/22/21,4.5,0.71,0.157,0,0,,0,0,,0,0.062,1.822,3.9,0.583,0.149,,0.4,0.6,0.065,0.114,Control
419,210112_15,E4HN_F,D,Day4,4,MWM_150,4/22/21,20.4,2.744,0.135,0,0,,3.6,0.621,0.171,1.3,0.153,0.118,15.4,1.97,0.128,2.385,16.3,0,0,,Control
420,210112_16,E4HN_F,D,Day4,4,MWM_150,4/22/21,4.9,0.516,0.106,0,0,,0,0,,1.3,0.059,0.047,3.6,0.457,0.127,0.039,0.8,0,0,,Control
421,210112_17,E4HN_F,D,Day4,4,MWM_150,4/22/21,14.5,2.534,0.174,0,0,,2.5,0.494,0.197,0.4,0.05,0.136,10.7,1.99,0.186,1.868,10.5,1,0,0,Control
422,210112_18,E3HN_M,C,Day4,4,MWM_150,4/22/21,7.4,0.944,0.128,0,0,,0,0,,0.7,0.076,0.107,6.6,0.868,0.131,0.38,3.3,0,0,,HFD
423,210112_19,E3HN_M,C,Day4,4,MWM_150,4/22/21,6.9,0.647,0.094,0,0,,0,0,,0,0,,6.9,0.647,0.094,0.245,2.8,0,0,,HFD
424,210112_20,E3HN_M,C,Day4,4,MWM_150,4/22/21,15.2,2.439,0.161,0,0,,0,0,,2.3,0.404,0.178,11,1.725,0.157,1.969,11.1,1.9,0.311,0.166,HFD
425,210112_21,E3HN_F,E,Day4,4,MWM_150,4/22/21,48,8.364,0.174,7.8,1.227,0.157,17.2,3.177,0.185,3.8,0.809,0.215,16.4,2.658,0.162,7.619,43.9,2.7,0.494,0.181,HFD
426,210112_23,E3HN_F,E,Day4,4,MWM_150,4/22/21,13.3,1.35,0.101,0,0,,0,0,,0,0,,11.9,1.12,0.094,1.273,9.2,1.4,0.23,0.168,HFD
427,210112_24,E3HN_F,E,Day4,4,MWM_150,4/22/21,19.4,2.936,0.151,0,0,,1.4,0.193,0.138,4.6,0.746,0.163,13.4,1.997,0.149,2.579,15.3,0,0,0,HFD
428,210112_25,E44_M,A,Day4,4,MWM_150,4/22/21,16.8,2.48,0.148,0,0,,5.6,0.572,0.102,0.9,0.136,0.151,10.1,1.727,0.172,1.786,12.7,0.2,0.045,0.218,HFD
429,210112_26,E44_M,A,Day4,4,MWM_150,4/22/21,20.3,3.178,0.157,2.1,0.51,0.243,0.1,0,0,9.2,1.877,0.205,8.9,0.791,0.089,3.139,16.2,0,0,,HFD
430,210112_27,E44_F,B,Day4,4,MWM_150,4/22/21,58,8.728,0.151,6,1.083,0.182,10.9,1.634,0.15,16.4,2.968,0.181,17.4,1.973,0.113,8.63,53.9,7.3,1.07,0.146,HFD
431,210112_28,E44_F,B,Day4,4,MWM_150,4/22/21,5.8,0.231,0.04,0,0,,0,0,,0,0,,5.8,0.231,0.04,0.188,1.7,0,0,,HFD
432,210112_29,E44_F,B,Day4,4,MWM_150,4/22/21,20.3,3.158,0.156,2.2,0.477,0.217,1.1,0.241,0.219,5.2,0.923,0.178,10.9,1.357,0.125,3.118,16.2,0.9,0.16,0.178,HFD
433,210112_1,E4HN_F,D,Day5,1,MWM_150,4/23/21,6,0.177,0.029,0,0,,0,0,,0,0,,6,0.177,0.029,0.097,2,0,0,,HFD
434,210112_2,E4HN_F,D,Day5,1,MWM_150,4/23/21,9.9,1.138,0.115,0,0,,0.8,0,0,0.7,0.042,0.062,8.4,1.096,0.13,0.84,5.8,0,0,,HFD
435,210112_4,E4HN_F,D,Day5,1,MWM_150,4/23/21,5.8,0.334,0.058,0,0,,0,0,,0,0,,5.8,0.334,0.058,0.259,1.7,0,0,,HFD
436,210112_5,E4HN_M,F,Day5,1,MWM_150,4/23/21,24.1,3.95,0.164,3.8,0.462,0.122,4.4,0.735,0.168,1.4,0.209,0.149,14.1,2.544,0.18,3.379,20,0.4,0,0,Control
437,210112_6,E4HN_M,F,Day5,1,MWM_150,4/23/21,16.7,2.885,0.173,0.4,0.095,0.22,4.2,0.709,0.167,5.7,1.224,0.216,6,0.856,0.143,2.067,12.6,0.3,0,0,Control
438,210112_7,E4HN_M,F,Day5,1,MWM_150,4/23/21,9.1,1.113,0.122,0,0,,0,0,,0,0,,8.7,1.113,0.127,0.413,5,0.4,0,0,Control
439,210112_8,E4HN_M,F,Day5,1,MWM_150,4/23/21,21,2.133,0.101,0,0,,0,0,,0.1,0.222,1.656,20.8,1.849,0.089,1.231,17,0.1,0.062,0.516,Control
440,210112_9,E4HN_M,F,Day5,1,MWM_150,4/23/21,7.3,0.78,0.107,0,0,,0,0,,0,0,,7.3,0.78,0.107,0.411,3.2,0,0,,HFD
441,210112_10,E4HN_M,F,Day5,1,MWM_150,4/23/21,9.3,0.83,0.09,0,0,,0,0,,0,0,,9.3,0.83,0.09,0.744,5.2,0,0,,HFD
