Test,Animal,Treatment,Code,Stage,Trial,Apparatus,Date,Duration,Distance,Mean speed,NE : time,NE : distance,NE : average speed,NW : time,NW : distance,NW : average speed,SE : time,SE : distance,SE : average speed,SW : time,SW : distance,SW : average speed,Island : distance to first entry,Island : latency to first entry,Thigmitaxis : time,Thigmitaxis : distance,Thigmitaxis : average speed,Diet
644,221003_14,E3HN_F_6month_Control,E,Probe_D8,1,MWM_150,10/17/22,60,12.661,0.211,12.2,3.038,0.248,8,2.1,0.261,23.4,4.581,0.195,16.3,2.943,0.181,2.019,16.2,2.6,0.443,0.168,Control
645,221003_15,E2HN_M_6month_Control,I,Probe_D8,1,MWM_150,10/17/22,60,11.654,0.194,2.6,0.583,0.221,9.8,1.943,0.198,5.8,1.368,0.236,41.7,7.76,0.186,1.643,9.4,5.3,0.878,0.166,Control
646,221003_16,E2HN_M_6month_Control,I,Probe_D8,1,MWM_150,10/17/22,60,13.395,0.223,5.2,1.156,0.223,4.4,1.067,0.244,13.9,3.108,0.224,36.6,8.064,0.221,2.367,11.4,6.5,1.264,0.194,Control
647,221003_17,E2HN_M_6month_Control,I,Probe_D8,1,MWM_150,10/17/22,60,13.479,0.225,8.8,2.31,0.263,5,1.119,0.225,20.2,4.645,0.23,26.1,5.405,0.207,1.448,8.1,8.9,1.447,0.163,Control
648,221003_18,E2HN_M_6month_Control,I,Probe_D8,1,MWM_150,10/17/22,60,13.444,0.224,10.8,2.19,0.203,10.1,2.404,0.238,19.7,4.944,0.251,19.4,3.907,0.201,1.222,6.3,12.2,2.179,0.179,Control
649,221003_19,E2HN_F_6month_Control,D,Probe_D8,1,MWM_150,10/17/22,60,15.502,0.258,4.6,1.375,0.299,8.6,2.085,0.242,14.6,4.087,0.279,32.1,7.955,0.248,1.117,4.8,10.1,2.061,0.203,Control
650,221003_20,E2HN_F_6month_Control,D,Probe_D8,1,MWM_150,10/17/22,60,11.496,0.192,7.7,0.647,0.084,0.9,0.211,0.235,32.9,6.635,0.202,18.5,4.003,0.216,3.002,19.9,11.2,1.864,0.166,Control
651,221003_21,E2HN_F_6month_Control,D,Probe_D8,1,MWM_150,10/17/22,60,15.129,0.252,10.3,2.696,0.262,15,3.667,0.244,14.9,3.809,0.256,19.8,4.956,0.25,1.457,6.9,2.3,0.444,0.19,Control
652,221003_22,E33_M_6month_Control,G,Probe_D8,1,MWM_150,10/17/22,60,12.463,0.208,10.8,2.41,0.222,19.8,3.661,0.185,9.7,2.35,0.242,19.6,4.041,0.206,1.218,4.4,5.2,0.398,0.076,Control
653,221003_23,E4HN_M_6month_Control,A,Probe_D8,1,MWM_150,10/17/22,60,13.118,0.219,11.1,2.284,0.206,10.1,2.049,0.203,11.5,2.797,0.244,27.4,5.988,0.219,10.509,48.9,3.7,0.762,0.204,Control
654,221003_24,E4HN_M_6month_Control,A,Probe_D8,1,MWM_150,10/17/22,60,13.985,0.233,14.2,3.076,0.217,12.1,2.688,0.223,15.2,3.917,0.258,18.6,4.304,0.232,6.879,31.2,5,0.777,0.157,Control
655,221003_25,E4HN_M_6month_Control,A,Probe_D8,1,MWM_150,10/17/22,60,12.703,0.212,14.8,3.105,0.21,11.9,2.299,0.193,14.9,3.316,0.222,18.3,3.983,0.217,,,20.7,2.924,0.142,Control
656,221003_26,E4HN_F_6month_Control,H,Probe_D8,1,MWM_150,10/17/22,60,11.963,0.199,13.3,2.279,0.171,19.6,3.971,0.202,11.9,2.446,0.206,15.2,3.266,0.215,3.099,17.8,5.8,0.836,0.145,Control
657,221003_27,E4HN_F_6month_Control,H,Probe_D8,1,MWM_150,10/17/22,60,12.454,0.208,22.1,4.457,0.202,9.1,1.903,0.21,9.5,2.309,0.243,19.4,3.785,0.195,1.246,6.1,9.8,1.725,0.176,Control
658,221003_28,E4HN_F_6month_Control,H,Probe_D8,1,MWM_150,10/17/22,60,13.929,0.232,13.3,3.192,0.239,9.2,2.252,0.246,11.7,2.969,0.253,25.8,5.516,0.214,1.055,4.9,1,0.211,0.204,Control
659,221003_29,E4HN_F_6month_Control,H,Probe_D8,1,MWM_150,10/17/22,60,13.475,0.225,9.4,1.974,0.21,20.6,4.511,0.219,11.3,2.643,0.234,18.7,4.347,0.233,5.58,26,0.7,0.098,0.146,Control
660,221003_30,E4HN_F_6month_Control,H,Probe_D8,1,MWM_150,10/17/22,60,13.471,0.225,11.8,2.383,0.203,24.4,5.397,0.221,8.6,2.216,0.258,15.2,3.474,0.228,11.518,50.2,2,0.293,0.149,Control
